,Circuit,Location,Country
0,Albert Park Circuit,Melbourne,Australia
1,Autódromo Fernanda Pires da Silva[N 1],Estoril,Portugal
2,Autódromo Hermanos Rodríguez,Mexico City,Mexico
3,Autódromo Internacional do Algarve,Portimão,Portugal
4,Autodromo Internazionale del Mugello[N 2],Scarperia e San Piero,Italy
5,Autodromo Internazionale Enzo e Dino Ferrari,Imola,Italy
6,Autódromo José Carlos Pace,São Paulo,Brazil
7,Autodromo Nazionale di Monza,Monza,Italy
8,Bahrain International Circuit,Sakhir,Bahrain
9,Baku City Circuit[N 3],Baku,Azerbaijan
10,Buddh International Circuit,Greater Noida,India
11,Chang International Circuit[N 4],Buriram,Thailand
12,Circuit de Barcelona-Catalunya,Montmeló,Spain
13,Circuit de la Comunitat Valenciana Ricardo Tormo,Valencia,Spain
14,Circuit de Monaco,Monte Carlo,Monaco
15,Circuit de Nevers Magny-Cours,Magny-Cours,France
16,Circuit de Spa-Francorchamps,Stavelot,Belgium
17,Circuit Gilles Villeneuve,Montreal,Canada
18,Circuit of the Americas[N 5],Austin,United States
19,Circuit Paul Ricard,Le Castellet,France
20,Circuit Zandvoort,Zandvoort,Netherlands
21,Circuito de Jerez – Ángel Nieto,Jerez de la Frontera,Spain
22,Circuito di Fiorano,Fiorano Modenese,Italy
23,Dubai Autodrome,Dubai,United Arab Emirates
24,Fuji Speedway,Oyama,Japan
25,Hockenheimring,Hockenheim,Germany
26,Hungaroring,Mogyoród,Hungary
27,Igora Drive,Novozhilovo,Russia
28,Indianapolis Motor Speedway[N 6],Speedway,United States
29,Intercity Istanbul Park,Tuzla,Turkey
30,Jeddah Corniche Circuit,Jeddah,Saudi Arabia
31,Korea International Circuit,Yeongam,South Korea
32,Kuwait Motor Town[N 8],Ahmadi Governorate,Kuwait
33,Losail International Circuit,Lusail,Qatar
34,Marina Bay Street Circuit[N 9],Singapore,Singapore
35,Miami International Autodrome,Miami Gardens,United States
36,Moscow Raceway,Volokolamsk,Russia
37,MotorLand Aragón,Alcañiz,Spain
38,Nürburgring,Nürburg,Germany
39,Red Bull Ring,Spielberg,Austria
40,Sepang International Circuit[N 10],Selangor,Malaysia
41,Shanghai International Circuit[N 11],Shanghai,China
42,Silverstone Circuit,Silverstone,United Kingdom
43,Sochi Autodrom,Sochi,Russia
44,Suzuka International Racing Course,Suzuka,Japan
45,Yas Marina Circuit,Abu Dhabi,United Arab Emirates
