,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,22.2,11.5,0.0,42.5
2,1959-01-03,26.8,11.3,0.0,32.0
3,1959-01-04,29.6,12.3,0.0,33.8
4,1959-01-05,30.4,13.5,0.0,26.3
5,1959-01-06,21.4,14.2,0.2,49.7
6,1959-01-07,20.9,12.9,0.0,35.3
7,1959-01-08,21.8,12.3,0.4,49.3
8,1959-01-09,24.0,13.1,0.0,40.7
9,1959-01-10,28.9,12.5,0.0,29.2
10,1959-01-11,33.1,16.5,1.7,41.8
11,1959-01-12,25.3,15.5,0.0,36.0
12,1959-01-13,23.4,15.5,0.0,47.9
13,1959-01-14,33.8,13.5,0.0,22.3
14,1959-01-15,33.6,17.2,0.1,58.3
15,1959-01-16,29.9,15.0,0.0,38.9
16,1959-01-17,38.4,15.2,0.1,52.2
17,1959-01-18,38.4,26.3,0.7,62.3
18,1959-01-19,39.1,25.4,0.1,47.9
19,1959-01-20,37.7,16.5,0.0,64.8
20,1959-01-21,20.3,15.5,0.0,61.9
21,1959-01-22,30.2,16.9,0.0,42.5
22,1959-01-23,34.7,17.3,0.0,28.4
23,1959-01-24,35.4,24.3,0.0,58.3
24,1959-01-25,33.2,21.6,8.8,37.4
25,1959-01-26,22.6,14.6,6.5,58.7
26,1959-01-27,18.5,12.9,0.0,43.9
27,1959-01-28,19.1,11.5,0.0,42.8
28,1959-01-29,20.4,13.3,0.5,41.8
29,1959-01-30,24.2,12.7,0.0,38.2
30,1959-01-31,31.2,13.8,0.0,39.2
31,1959-02-01,35.2,17.5,0.0,43.2
32,1959-02-02,36.1,23.8,0.0,48.6
33,1959-02-03,22.4,16.4,2.9,41.8
34,1959-02-04,22.5,14.4,0.0,42.1
35,1959-02-05,26.8,12.7,0.0,32.0
36,1959-02-06,27.8,16.1,8.5,59.8
37,1959-02-07,24.6,14.2,0.0,34.2
38,1959-02-08,20.7,13.5,0.4,46.4
39,1959-02-09,17.9,12.6,0.3,48.2
40,1959-02-10,21.5,11.9,0.0,40.7
41,1959-02-11,26.4,11.8,0.0,38.2
42,1959-02-12,30.5,15.6,0.5,45.7
43,1959-02-13,30.6,19.9,40.3,76.0
44,1959-02-14,25.9,19.1,19.9,51.5
45,1959-02-15,24.0,15.2,0.2,41.8
46,1959-02-16,19.9,11.7,0.0,29.2
47,1959-02-17,21.7,12.3,0.0,46.4
48,1959-02-18,19.6,12.2,0.0,39.2
49,1959-02-19,18.9,13.0,1.5,46.1
50,1959-02-20,18.9,12.0,0.2,48.6
51,1959-02-21,18.5,13.5,0.0,42.1
52,1959-02-22,28.5,9.7,0.0,33.8
53,1959-02-23,30.9,14.8,0.0,36.0
54,1959-02-24,23.0,15.1,0.0,44.6
55,1959-02-25,21.0,14.7,0.0,40.7
56,1959-02-26,20.6,15.0,0.0,36.4
57,1959-02-27,20.1,13.5,0.0,40.7
