,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,9.2,5.8,0.0,14.8
2,1959-01-03,9.4,3.8,5.6,30.6
3,1959-01-04,7.1,2.6,3.2,19.4
4,1959-01-05,6.6,-0.1,0.9,32.8
5,1959-01-06,7.8,-3.0,0.0,22.0
6,1959-01-07,9.1,4.4,1.9,25.9
7,1959-01-08,7.0,3.2,4.2,37.4
8,1959-01-09,8.1,-0.7,0.7,37.1
9,1959-01-10,6.2,-1.7,0.0,37.8
10,1959-01-11,6.0,-0.6,0.0,28.1
11,1959-01-12,6.0,0.6,0.4,22.0
12,1959-01-13,6.6,-1.0,0.0,20.2
13,1959-01-14,7.0,3.2,0.7,23.4
14,1959-01-15,11.5,3.7,1.3,22.0
15,1959-01-16,8.3,2.6,10.0,35.6
16,1959-01-17,6.7,-1.2,0.0,31.0
17,1959-01-18,7.0,-2.1,0.0,15.8
18,1959-01-19,8.3,-1.6,0.0,13.0
19,1959-01-20,10.7,1.2,0.0,16.9
20,1959-01-21,14.5,6.9,0.0,22.0
21,1959-01-22,13.6,5.1,0.0,18.4
22,1959-01-23,13.8,8.5,1.5,25.2
23,1959-01-24,13.1,6.8,0.0,24.8
24,1959-01-25,9.9,1.8,4.9,31.7
25,1959-01-26,9.0,-0.7,0.0,15.8
26,1959-01-27,8.1,-2.4,0.0,14.4
27,1959-01-28,8.6,-2.0,0.0,23.0
28,1959-01-29,8.4,-1.0,0.0,13.0
29,1959-01-30,8.7,-0.5,0.0,19.4
30,1959-01-31,9.3,0.4,0.0,13.7
31,1959-02-01,6.0,2.5,15.1,53.3
32,1959-02-02,5.7,2.9,12.6,23.4
33,1959-02-03,4.8,3.4,8.0,20.2
34,1959-02-04,7.3,1.7,0.2,18.7
35,1959-02-05,7.0,1.1,0.0,17.6
36,1959-02-06,10.5,-0.8,0.0,15.5
37,1959-02-07,8.4,-0.9,0.0,16.2
38,1959-02-08,8.7,-1.8,0.0,19.1
39,1959-02-09,8.1,3.1,0.0,15.8
40,1959-02-10,9.3,1.7,0.0,16.9
41,1959-02-11,7.2,-1.2,0.0,19.4
42,1959-02-12,7.1,-1.1,0.0,17.6
43,1959-02-13,6.2,-2.7,0.0,22.7
44,1959-02-14,8.7,-2.8,0.0,22.3
45,1959-02-15,12.8,-2.0,0.0,19.8
46,1959-02-16,11.9,-0.7,0.0,17.6
47,1959-02-17,9.8,-1.8,0.0,22.0
48,1959-02-18,11.7,-2.4,0.0,18.7
49,1959-02-19,14.6,-3.0,0.0,14.0
50,1959-02-20,16.9,-2.6,0.0,19.1
51,1959-02-21,16.3,3.1,0.0,27.4
52,1959-02-22,15.2,3.7,0.0,32.8
53,1959-02-23,11.3,3.8,0.0,27.7
54,1959-02-24,11.1,2.0,0.0,12.6
