,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,7.4,2.9,0.3,10.8
2,1959-01-03,7.4,4.4,5.6,31.3
3,1959-01-04,3.8,-0.2,0.4,27.0
4,1959-01-05,6.3,-0.4,0.0,41.0
5,1959-01-06,4.6,-1.5,0.0,15.5
6,1959-01-07,5.4,0.5,0.7,11.9
7,1959-01-08,7.1,-1.0,0.3,40.7
8,1959-01-09,7.2,-1.0,0.0,41.0
9,1959-01-10,6.3,-1.7,0.0,29.2
10,1959-01-11,4.6,-2.5,0.0,16.6
11,1959-01-12,3.7,-1.6,0.0,14.4
12,1959-01-13,4.6,-2.6,0.0,22.7
13,1959-01-14,4.6,-1.5,0.2,12.2
14,1959-01-15,8.4,-0.5,0.7,22.3
15,1959-01-16,8.4,0.8,1.2,24.8
16,1959-01-17,5.8,-3.2,1.1,22.0
17,1959-01-18,3.8,-1.9,0.0,11.5
18,1959-01-19,4.2,-2.1,0.0,13.0
19,1959-01-20,5.6,3.1,2.0,10.8
20,1959-01-21,7.9,5.5,5.7,10.8
21,1959-01-22,8.4,4.4,5.2,6.8
22,1959-01-23,10.0,3.7,2.5,19.4
23,1959-01-24,9.9,1.2,0.0,22.7
24,1959-01-25,9.0,1.3,0.0,20.5
25,1959-01-26,8.1,-1.4,0.0,17.6
26,1959-01-27,7.7,-1.3,0.0,17.3
27,1959-01-28,6.8,-2.8,0.0,21.2
28,1959-01-29,5.4,-2.3,0.0,13.3
29,1959-01-30,6.6,-2.4,0.0,19.1
30,1959-01-31,6.4,-1.6,0.0,16.6
31,1959-02-01,3.7,-1.6,8.8,26.3
32,1959-02-02,4.0,1.3,2.0,13.7
33,1959-02-03,4.0,-1.0,2.6,11.9
34,1959-02-04,3.9,0.5,2.1,9.4
35,1959-02-05,6.0,-2.4,0.0,11.9
36,1959-02-06,9.5,-2.2,0.0,15.8
37,1959-02-07,8.0,-2.5,0.0,13.3
38,1959-02-08,6.2,-0.6,0.0,14.4
39,1959-02-09,6.3,-1.0,0.0,15.1
40,1959-02-10,9.4,-1.0,0.0,13.3
41,1959-02-11,8.2,-0.0,0.0,13.3
42,1959-02-12,5.8,-0.7,0.0,20.2
43,1959-02-13,5.7,-0.9,0.0,16.6
44,1959-02-14,7.8,-2.0,0.0,15.5
45,1959-02-15,11.1,-1.5,0.0,19.4
46,1959-02-16,11.1,-0.8,0.0,15.8
47,1959-02-17,9.3,-3.6,0.0,15.1
48,1959-02-18,11.0,-2.0,0.0,14.8
49,1959-02-19,13.6,-2.6,0.0,16.9
50,1959-02-20,15.1,-1.4,0.0,19.1
