,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,12.5,8.3,0.0,42.5
2,1959-01-03,11.8,8.0,0.2,42.5
3,1959-01-04,10.7,6.0,0.0,23.4
4,1959-01-05,10.5,6.4,0.0,22.0
5,1959-01-06,13.4,9.1,4.0,26.6
6,1959-01-07,14.7,12.8,1.0,30.2
7,1959-01-08,14.1,12.1,1.1,27.4
8,1959-01-09,14.8,13.1,1.0,33.1
9,1959-01-10,13.2,11.8,14.3,35.3
10,1959-01-11,13.2,10.7,0.4,36.4
11,1959-01-12,11.3,7.8,0.0,45.7
12,1959-01-13,13.8,8.7,0.8,42.1
13,1959-01-14,15.1,13.5,16.7,53.3
14,1959-01-15,14.8,10.2,0.2,38.2
15,1959-01-16,13.6,9.1,0.0,18.4
16,1959-01-17,13.1,7.7,0.0,28.1
17,1959-01-18,14.5,8.3,0.5,56.9
18,1959-01-19,15.7,13.2,19.1,77.4
19,1959-01-20,13.5,8.8,8.4,51.5
20,1959-01-21,13.8,9.1,1.0,56.5
21,1959-01-22,13.8,12.0,12.6,74.9
22,1959-01-23,15.1,11.9,4.2,63.0
23,1959-01-24,16.9,13.2,0.0,54.4
24,1959-01-25,18.3,13.1,0.0,50.0
25,1959-01-26,16.7,13.2,6.8,57.2
26,1959-01-27,15.5,12.8,0.4,43.9
27,1959-01-28,14.0,10.7,2.2,29.5
28,1959-01-29,13.7,11.1,4.2,36.0
29,1959-01-30,12.9,9.2,1.2,19.8
30,1959-01-31,12.4,8.4,0.3,20.2
31,1959-02-01,11.8,9.9,15.7,41.8
32,1959-02-02,11.6,6.4,3.0,30.2
33,1959-02-03,9.7,6.3,4.3,58.7
34,1959-02-04,9.9,6.9,0.4,37.4
35,1959-02-05,10.9,4.7,0.0,17.6
36,1959-02-06,11.4,6.7,8.8,34.2
37,1959-02-07,12.1,7.5,4.1,36.0
38,1959-02-08,11.7,8.9,2.4,43.6
39,1959-02-09,12.6,6.7,0.0,24.1
40,1959-02-10,14.9,7.0,0.0,28.8
41,1959-02-11,14.4,7.0,0.0,14.8
42,1959-02-12,13.1,8.5,1.0,33.8
43,1959-02-13,12.8,8.7,4.6,32.4
44,1959-02-14,14.9,8.4,0.0,34.6
45,1959-02-15,14.3,8.1,0.0,44.3
46,1959-02-16,13.2,7.4,0.0,45.4
47,1959-02-17,13.6,7.0,0.0,37.4
48,1959-02-18,13.8,6.5,0.0,28.8
49,1959-02-19,14.4,5.8,0.0,24.8
50,1959-02-20,14.6,6.2,0.0,20.9
51,1959-02-21,14.4,7.0,0.0,22.3
52,1959-02-22,14.7,8.6,0.0,25.2
53,1959-02-23,14.3,8.3,0.0,22.3
54,1959-02-24,13.6,8.9,0.0,29.9
55,1959-02-25,13.3,8.8,0.0,38.2
56,1959-02-26,15.0,8.3,0.0,21.2
57,1959-02-27,16.0,8.7,0.0,22.3
58,1959-02-28,13.3,10.5,1.6,32.0
59,1959-03-01,13.2,9.5,13.9,31.3
60,1959-03-02,12.5,9.3,15.9,51.1
61,1959-03-03,13.1,8.8,0.4,29.9
62,1959-03-04,13.0,7.6,4.6,60.1
63,1959-03-05,13.4,12.1,12.6,51.8
64,1959-03-06,13.7,8.1,2.8,36.4
65,1959-03-07,13.3,9.6,1.1,55.1
66,1959-03-08,12.6,8.3,51.7,73.8
67,1959-03-09,13.4,7.1,2.9,25.6
68,1959-03-10,14.8,9.6,1.8,37.8
69,1959-03-11,14.3,9.4,3.5,58.3
70,1959-03-12,12.5,8.9,0.8,56.2
71,1959-03-13,13.7,8.0,0.0,28.1
72,1959-03-14,17.1,7.4,0.0,27.7
73,1959-03-15,18.8,10.6,0.0,41.4
74,1959-03-16,14.9,10.5,1.5,30.2
75,1959-03-17,15.7,9.4,0.1,31.0
76,1959-03-18,14.4,10.4,0.9,33.1
77,1959-03-19,17.2,11.1,1.0,41.8
78,1959-03-20,17.1,11.0,4.5,31.0
79,1959-03-21,15.0,9.8,0.7,29.2
80,1959-03-22,16.1,11.6,0.3,24.8
81,1959-03-23,13.9,11.2,0.6,47.9
82,1959-03-24,12.3,8.8,2.7,46.1
83,1959-03-25,14.0,10.4,9.7,56.5
84,1959-03-26,15.4,12.0,0.0,24.1
85,1959-03-27,15.1,12.6,0.0,29.5
86,1959-03-28,14.7,12.0,0.9,34.9
87,1959-03-29,15.1,11.7,0.7,41.0
88,1959-03-30,14.3,10.7,0.1,41.0
89,1959-03-31,15.6,11.3,0.0,44.3
90,1959-04-01,19.7,11.8,0.0,32.4
91,1959-04-02,20.1,11.2,0.0,19.4
92,1959-04-03,17.2,10.4,1.5,28.1
93,1959-04-04,13.2,9.9,5.8,40.0
94,1959-04-05,15.5,8.9,3.4,27.7
95,1959-04-06,15.4,9.8,1.2,27.7
96,1959-04-07,16.5,11.6,0.0,44.3
97,1959-04-08,16.5,12.0,0.0,55.1
98,1959-04-09,12.8,10.7,0.0,42.5
99,1959-04-10,13.7,10.8,0.0,31.0
100,1959-04-11,13.9,9.5,0.2,34.2
101,1959-04-12,15.5,11.7,0.0,45.7
102,1959-04-13,13.9,11.8,16.2,53.6
103,1959-04-14,14.5,12.7,18.9,85.7
104,1959-04-15,15.4,12.3,5.3,71.6
105,1959-04-16,14.6,11.1,2.6,66.2
106,1959-04-17,14.8,11.3,0.4,48.2
107,1959-04-18,14.8,11.1,0.0,56.5
108,1959-04-19,18.4,11.3,0.0,40.3
109,1959-04-20,19.7,12.2,0.0,33.8
110,1959-04-21,20.7,11.7,0.0,34.9
111,1959-04-22,19.7,12.1,0.0,24.1
112,1959-04-23,15.3,11.9,0.0,55.8
113,1959-04-24,15.7,11.0,0.0,50.8
114,1959-04-25,16.8,11.1,0.0,30.6
115,1959-04-26,14.9,11.9,4.7,33.8
116,1959-04-27,15.6,12.9,0.9,39.6
117,1959-04-28,15.5,13.5,1.2,46.1
118,1959-04-29,14.8,10.9,2.1,53.6
119,1959-04-30,14.5,9.4,0.0,47.2
120,1959-05-01,17.8,9.6,0.0,40.3
121,1959-05-02,18.7,11.5,0.0,42.8
122,1959-05-03,19.1,12.2,0.0,31.3
123,1959-05-04,15.7,11.6,0.0,34.2
124,1959-05-05,15.0,10.0,4.0,36.4
125,1959-05-06,15.7,10.5,8.6,29.9
126,1959-05-07,16.7,12.6,1.2,50.0
127,1959-05-08,16.3,12.1,0.4,47.5
128,1959-05-09,15.3,13.5,14.5,33.1
129,1959-05-10,16.5,11.5,1.8,38.2
