,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,13.6,8.4,0.3,40.0
2,1959-01-03,12.9,6.9,0.0,40.7
3,1959-01-04,12.0,5.3,0.0,17.6
4,1959-01-05,11.9,5.0,0.0,17.3
5,1959-01-06,14.3,9.5,0.0,20.2
6,1959-01-07,15.2,11.3,0.0,19.8
7,1959-01-08,14.9,11.1,0.2,34.2
8,1959-01-09,16.0,13.7,1.0,40.7
9,1959-01-10,15.6,13.7,11.4,37.1
10,1959-01-11,14.9,11.3,7.9,36.7
11,1959-01-12,13.0,9.3,0.0,42.8
12,1959-01-13,14.1,8.0,0.0,24.5
13,1959-01-14,16.2,13.5,0.9,48.6
14,1959-01-15,15.6,10.6,2.7,38.9
15,1959-01-16,13.7,8.1,0.0,17.6
16,1959-01-17,14.5,7.6,0.0,24.5
17,1959-01-18,15.7,11.1,0.0,49.3
18,1959-01-19,17.4,14.3,0.0,64.1
19,1959-01-20,15.4,9.9,5.1,59.4
20,1959-01-21,14.2,8.9,0.1,40.7
21,1959-01-22,15.7,13.5,6.0,67.7
22,1959-01-23,16.7,13.9,0.8,59.8
23,1959-01-24,17.1,14.4,0.0,56.5
24,1959-01-25,18.2,14.8,0.0,66.2
25,1959-01-26,16.1,14.3,10.2,59.0
26,1959-01-27,16.4,13.4,1.3,43.6
27,1959-01-28,14.8,12.1,0.7,39.2
28,1959-01-29,14.8,11.2,7.9,30.6
29,1959-01-30,14.2,8.6,0.6,20.2
30,1959-01-31,14.3,10.3,0.1,25.9
31,1959-02-01,13.8,10.3,8.0,37.8
32,1959-02-02,12.1,8.4,2.2,46.1
33,1959-02-03,10.4,4.8,2.5,65.5
34,1959-02-04,10.8,8.1,1.7,49.0
35,1959-02-05,12.0,5.3,0.0,17.3
36,1959-02-06,13.0,5.9,1.9,40.7
37,1959-02-07,12.2,8.3,2.7,35.6
38,1959-02-08,13.6,9.8,2.6,50.4
39,1959-02-09,14.1,7.1,0.0,28.4
40,1959-02-10,15.9,8.3,0.0,28.8
41,1959-02-11,15.7,7.8,0.0,17.6
42,1959-02-12,14.2,8.4,0.0,19.8
43,1959-02-13,13.4,9.1,0.0,27.7
44,1959-02-14,15.7,8.4,0.0,33.1
45,1959-02-15,15.7,8.6,0.1,44.6
46,1959-02-16,14.9,8.9,0.0,53.6
47,1959-02-17,15.1,8.4,0.0,41.4
48,1959-02-18,15.2,9.2,0.0,35.6
