,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,25.2,15.5,,
1,1959-01-02,26.3,16.4,0.7,40.7
2,1959-01-03,27.2,17.1,0.1,40.3
3,1959-01-04,27.6,19.3,24.0,43.9
4,1959-01-05,25.2,18.5,33.9,55.4
5,1959-01-06,20.0,18.0,37.1,31.7
6,1959-01-07,21.9,17.6,11.6,24.8
7,1959-01-08,20.1,18.5,21.0,33.5
8,1959-01-09,25.7,17.6,2.0,23.0
9,1959-01-10,26.7,18.9,21.0,28.1
10,1959-01-11,20.5,18.3,79.8,30.6
11,1959-01-12,23.4,16.2,16.9,29.2
12,1959-01-13,24.3,18.9,64.9,53.6
13,1959-01-14,24.6,18.1,10.7,34.9
14,1959-01-15,26.5,17.7,5.4,27.4
15,1959-01-16,27.8,18.9,3.0,25.9
16,1959-01-17,27.1,21.3,1.6,63.7
17,1959-01-18,21.8,20.5,21.2,50.8
18,1959-01-19,25.3,18.3,10.3,36.0
19,1959-01-20,24.0,17.4,4.5,34.9
20,1959-01-21,27.3,18.3,7.7,30.6
21,1959-01-22,27.3,20.4,4.5,50.4
22,1959-01-23,27.3,21.7,3.9,58.7
23,1959-01-24,27.4,20.5,17.0,60.8
24,1959-01-25,26.9,20.1,5.5,56.2
25,1959-01-26,28.6,20.1,0.1,46.8
26,1959-01-27,28.9,19.3,1.6,22.0
27,1959-01-28,29.7,19.1,0.0,31.0
28,1959-01-29,30.5,19.2,0.0,16.9
29,1959-01-30,30.9,19.2,0.2,25.9
30,1959-01-31,25.5,20.3,4.2,36.4
31,1959-02-01,25.1,18.5,2.4,34.9
32,1959-02-02,22.9,17.8,3.3,38.2
33,1959-02-03,25.7,16.5,3.1,33.5
34,1959-02-04,28.3,17.3,1.3,24.1
35,1959-02-05,28.2,19.8,1.0,36.0
36,1959-02-06,29.7,21.0,2.1,54.4
37,1959-02-07,26.4,19.2,11.2,37.4
38,1959-02-08,24.4,18.9,5.8,30.2
39,1959-02-09,28.8,18.8,6.7,29.5
40,1959-02-10,29.0,20.1,19.3,31.3
41,1959-02-11,30.3,20.9,6.3,36.7
42,1959-02-12,27.8,20.7,7.6,28.8
43,1959-02-13,27.3,20.2,0.6,32.8
44,1959-02-14,29.1,20.9,11.2,23.4
45,1959-02-15,25.8,20.3,9.0,32.0
46,1959-02-16,23.8,18.8,11.7,33.8
47,1959-02-17,23.9,18.7,7.0,28.1
48,1959-02-18,27.0,19.1,15.1,24.1
49,1959-02-19,26.4,19.4,1.5,31.0
50,1959-02-20,28.4,19.7,12.2,34.6
