,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,-3.8,-18.7,,
1,1959-01-02,2.3,-3.3,16.9,39.2
2,1959-01-03,2.5,0.1,0.0,41.0
3,1959-01-04,0.2,-11.9,10.8,43.2
4,1959-01-05,-11.8,-22.8,2.2,61.9
5,1959-01-06,-17.4,-22.4,1.1,60.5
6,1959-01-07,-13.4,-18.6,0.0,53.6
7,1959-01-08,-10.2,-15.2,0.0,41.8
8,1959-01-09,-11.4,-13.9,1.1,42.5
9,1959-01-10,-12.7,-14.5,1.8,46.1
10,1959-01-11,-4.2,-12.7,1.1,39.2
11,1959-01-12,-6.4,-11.2,0.0,41.8
12,1959-01-13,-3.3,-7.0,2.4,23.0
13,1959-01-14,-5.1,-9.8,0.0,22.7
14,1959-01-15,-5.5,-6.9,5.3,22.3
15,1959-01-16,-3.7,-5.7,21.2,28.8
16,1959-01-17,-4.8,-13.4,6.9,56.2
17,1959-01-18,-9.6,-16.6,0.0,33.8
18,1959-01-19,-3.7,-15.2,3.7,41.8
19,1959-01-20,-4.1,-11.3,0.1,37.4
20,1959-01-21,4.4,-10.3,14.3,28.4
21,1959-01-22,6.3,-6.0,13.7,88.6
22,1959-01-23,-5.9,-13.6,0.6,56.2
23,1959-01-24,-10.8,-18.0,0.9,32.0
24,1959-01-25,-8.8,-20.0,1.3,45.7
25,1959-01-26,-19.4,-27.9,0.0,13.7
26,1959-01-27,-14.6,-24.1,0.0,18.0
27,1959-01-28,-4.5,-18.8,0.0,25.6
28,1959-01-29,-3.7,-9.8,0.0,13.0
29,1959-01-30,3.5,-7.8,7.5,55.8
30,1959-01-31,-7.8,-20.1,0.0,42.8
31,1959-02-01,-19.0,-24.4,0.0,23.8
32,1959-02-02,-9.3,-25.0,0.0,48.2
33,1959-02-03,-1.5,-10.4,0.0,47.5
34,1959-02-04,3.1,-5.7,6.4,66.6
35,1959-02-05,-1.7,-12.5,1.0,49.3
36,1959-02-06,-3.4,-15.2,0.4,58.3
37,1959-02-07,-9.4,-17.3,3.9,37.8
38,1959-02-08,-9.3,-25.3,0.8,38.2
39,1959-02-09,-10.6,-28.0,5.0,32.4
40,1959-02-10,-9.9,-12.6,6.3,42.8
41,1959-02-11,-11.6,-18.4,2.4,51.8
42,1959-02-12,-7.2,-23.6,0.0,34.6
43,1959-02-13,2.0,-7.0,1.1,45.4
44,1959-02-14,-5.1,-14.4,2.6,38.2
45,1959-02-15,-6.0,-16.0,10.0,52.9
46,1959-02-16,0.5,-17.3,1.7,40.3
47,1959-02-17,0.4,-7.6,0.0,34.6
48,1959-02-18,-6.8,-10.4,3.7,42.5
49,1959-02-19,-9.5,-19.4,1.1,46.8
50,1959-02-20,-15.5,-24.5,0.0,46.1
51,1959-02-21,-8.9,-15.3,1.1,51.5
52,1959-02-22,-13.5,-20.9,0.0,32.4
53,1959-02-23,-10.3,-20.2,1.0,36.7
54,1959-02-24,-7.1,-14.7,1.2,35.3
55,1959-02-25,-4.9,-17.9,0.0,33.8
56,1959-02-26,-3.7,-12.8,0.0,23.8
57,1959-02-27,-4.1,-12.5,0.0,28.8
58,1959-02-28,3.6,-10.9,0.1,41.4
59,1959-03-01,3.6,0.9,10.2,34.2
60,1959-03-02,2.6,-4.8,0.0,16.2
61,1959-03-03,3.6,-8.0,1.5,27.0
62,1959-03-04,3.0,-0.7,3.6,41.4
63,1959-03-05,-0.7,-7.6,0.0,39.2
64,1959-03-06,2.6,-4.9,24.5,79.2
65,1959-03-07,1.5,-10.8,0.7,60.1
66,1959-03-08,-8.4,-14.8,0.0,40.3
67,1959-03-09,-7.3,-18.5,0.0,31.7
68,1959-03-10,-6.6,-17.5,0.0,22.7
69,1959-03-11,-4.8,-18.2,0.0,14.4
70,1959-03-12,-4.9,-14.6,9.3,52.9
71,1959-03-13,-1.0,-5.8,4.9,57.6
72,1959-03-14,0.4,-8.5,0.0,51.8
73,1959-03-15,3.7,-10.0,5.8,70.2
74,1959-03-16,4.4,-1.8,2.9,73.8
75,1959-03-17,-1.4,-7.1,0.6,50.8
76,1959-03-18,-6.0,-12.6,0.0,44.6
77,1959-03-19,6.8,-6.3,0.0,44.6
78,1959-03-20,8.7,1.1,0.6,44.6
79,1959-03-21,2.8,-2.5,9.7,55.1
80,1959-03-22,-2.5,-15.2,0.7,65.9
81,1959-03-23,-3.2,-12.9,0.0,40.0
82,1959-03-24,4.2,-9.6,0.0,28.4
83,1959-03-25,2.8,-5.4,0.0,26.3
84,1959-03-26,3.9,-5.9,0.0,26.6
85,1959-03-27,-2.4,-6.8,0.0,47.2
86,1959-03-28,0.2,-10.5,0.0,45.4
87,1959-03-29,3.5,-11.5,0.0,30.2
88,1959-03-30,6.1,-3.7,0.0,17.3
89,1959-03-31,8.1,-3.8,0.0,14.4
90,1959-04-01,8.9,-3.0,0.0,14.0
91,1959-04-02,10.9,3.0,13.9,60.8
92,1959-04-03,4.7,0.7,1.6,40.0
93,1959-04-04,4.5,2.0,3.2,30.6
94,1959-04-05,8.0,-0.9,0.0,37.4
95,1959-04-06,7.3,0.4,5.5,43.2
96,1959-04-07,3.6,-3.7,0.0,42.5
97,1959-04-08,10.3,0.4,4.0,29.9
98,1959-04-09,4.5,-0.1,1.1,23.4
99,1959-04-10,8.0,-2.0,0.0,13.0
100,1959-04-11,7.1,2.0,1.5,30.2
101,1959-04-12,5.2,-3.5,0.0,33.8
102,1959-04-13,7.7,-5.4,0.0,28.1
103,1959-04-14,10.6,-1.4,0.0,30.2
104,1959-04-15,11.5,-1.4,0.1,21.2
105,1959-04-16,15.1,5.2,1.6,40.3
106,1959-04-17,15.9,1.4,0.0,26.3
107,1959-04-18,13.2,1.8,2.1,45.0
108,1959-04-19,12.2,4.3,0.0,31.0
109,1959-04-20,9.6,0.6,0.0,33.8
110,1959-04-21,7.6,-1.6,0.0,43.6
111,1959-04-22,16.8,-1.3,0.0,41.8
112,1959-04-23,20.4,1.0,0.0,22.7
113,1959-04-24,17.8,5.2,0.3,37.1
114,1959-04-25,19.3,4.4,0.0,49.0
115,1959-04-26,17.5,7.4,7.2,47.9
116,1959-04-27,11.7,2.7,0.0,38.9
117,1959-04-28,15.2,1.3,2.1,60.5
118,1959-04-29,15.1,4.1,7.7,58.7
119,1959-04-30,15.6,7.9,8.5,54.4
120,1959-05-01,11.2,4.9,0.4,38.9
121,1959-05-02,13.8,2.2,0.0,26.6
122,1959-05-03,18.5,2.8,0.0,43.6
123,1959-05-04,19.0,5.4,0.0,29.9
124,1959-05-05,21.8,5.3,0.0,18.0
125,1959-05-06,25.3,8.4,0.0,20.5
126,1959-05-07,28.1,13.6,0.0,42.8
127,1959-05-08,14.9,6.0,0.0,40.3
128,1959-05-09,21.3,1.5,0.0,52.2
129,1959-05-10,23.7,5.3,0.0,33.1
130,1959-05-11,25.5,15.1,5.9,40.7
131,1959-05-12,24.1,13.5,0.0,38.5
132,1959-05-13,21.5,11.1,0.0,31.7
133,1959-05-14,15.0,9.0,3.2,59.8
134,1959-05-15,12.2,7.0,0.3,39.6
135,1959-05-16,11.2,2.7,0.4,50.0
136,1959-05-17,13.8,2.5,0.7,48.2
137,1959-05-18,15.9,2.4,0.0,38.5
138,1959-05-19,24.7,6.1,1.5,37.8
139,1959-05-20,27.0,15.8,9.4,39.6
140,1959-05-21,26.6,14.8,3.5,32.4
141,1959-05-22,28.1,14.9,9.9,54.7
142,1959-05-23,14.7,7.6,1.1,32.4
143,1959-05-24,15.3,8.5,0.5,45.0
144,1959-05-25,24.2,6.3,0.0,36.4
145,1959-05-26,28.7,11.0,0.0,33.5
146,1959-05-27,29.9,16.1,0.0,37.4
147,1959-05-28,26.2,17.7,0.0,30.2
148,1959-05-29,28.2,11.8,0.0,24.8
149,1959-05-30,26.8,16.6,5.2,36.4
150,1959-05-31,21.0,10.7,0.0,33.5
151,1959-06-01,19.5,14.1,16.6,62.6
152,1959-06-02,19.8,11.4,0.1,29.2
153,1959-06-03,25.7,10.6,0.0,42.5
154,1959-06-04,26.2,12.0,0.0,21.6
155,1959-06-05,29.8,15.8,0.0,42.8
156,1959-06-06,22.7,12.9,6.3,42.5
157,1959-06-07,16.2,10.4,2.0,28.4
158,1959-06-08,29.0,15.5,2.7,47.5
159,1959-06-09,30.5,16.3,0.0,40.3
160,1959-06-10,30.5,20.5,0.0,50.8
161,1959-06-11,26.0,13.3,0.0,31.0
162,1959-06-12,26.6,18.6,16.9,54.4
163,1959-06-13,22.4,13.6,3.2,51.8
164,1959-06-14,13.7,8.5,0.1,49.0
165,1959-06-15,13.8,9.4,25.2,50.8
166,1959-06-16,15.7,10.9,2.1,45.4
167,1959-06-17,17.1,11.6,0.3,49.7
168,1959-06-18,16.2,12.8,8.8,41.0
169,1959-06-19,20.4,12.8,1.3,35.6
170,1959-06-20,25.4,13.7,3.8,38.9
171,1959-06-21,23.4,14.3,0.0,32.8
172,1959-06-22,23.7,16.4,3.2,47.9
173,1959-06-23,22.3,12.9,0.0,36.7
174,1959-06-24,23.2,10.8,0.0,21.6
175,1959-06-25,25.2,13.0,0.1,18.4
176,1959-06-26,25.0,17.9,7.2,19.4
177,1959-06-27,24.9,18.4,0.0,20.2
178,1959-06-28,30.7,21.0,7.5,38.5
179,1959-06-29,32.9,23.6,0.3,46.8
