,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,8.2,0.8,0.0,31.0
2,1959-01-03,6.8,2.2,1.3,61.9
3,1959-01-04,6.4,0.7,1.5,80.3
4,1959-01-05,4.3,-3.0,0.0,53.3
5,1959-01-06,6.0,-1.7,0.0,23.0
6,1959-01-07,9.0,0.8,0.7,51.5
7,1959-01-08,7.7,0.9,1.6,67.0
8,1959-01-09,3.3,-0.8,0.0,66.6
9,1959-01-10,2.9,-1.8,0.0,57.6
10,1959-01-11,2.3,-3.3,0.0,45.7
11,1959-01-12,3.8,-2.7,0.0,38.5
12,1959-01-13,2.7,-4.7,0.0,40.0
13,1959-01-14,8.2,-0.6,0.8,18.7
14,1959-01-15,9.4,3.8,0.9,37.1
15,1959-01-16,7.0,-0.5,0.3,62.3
16,1959-01-17,6.4,-3.2,0.9,23.4
17,1959-01-18,7.1,-3.4,0.0,13.7
18,1959-01-19,8.4,4.4,0.1,35.3
19,1959-01-20,8.9,6.0,0.0,49.7
20,1959-01-21,11.6,7.6,0.2,40.0
21,1959-01-22,12.5,8.3,0.4,46.1
22,1959-01-23,12.6,4.3,0.8,40.0
23,1959-01-24,12.7,2.0,0.0,46.4
24,1959-01-25,10.1,2.4,0.0,31.0
25,1959-01-26,8.0,0.6,0.0,17.6
26,1959-01-27,8.4,-1.7,0.0,32.0
27,1959-01-28,9.0,-1.6,0.0,22.7
28,1959-01-29,9.8,-2.5,0.0,23.8
29,1959-01-30,9.6,-2.4,0.0,17.6
30,1959-01-31,7.7,-2.8,0.0,28.8
31,1959-02-01,6.6,-2.3,0.0,26.3
32,1959-02-02,5.7,-0.1,11.8,39.2
33,1959-02-03,8.6,3.7,1.1,57.2
34,1959-02-04,11.4,9.0,0.3,70.6
35,1959-02-05,13.2,5.7,2.3,54.7
36,1959-02-06,11.5,0.9,0.0,19.1
37,1959-02-07,11.5,0.9,0.0,31.3
38,1959-02-08,11.8,4.6,0.0,46.4
39,1959-02-09,10.3,2.1,0.0,22.7
40,1959-02-10,9.4,0.1,0.1,15.8
41,1959-02-11,9.7,1.6,0.0,22.0
42,1959-02-12,9.0,-0.2,0.0,32.4
43,1959-02-13,9.3,-0.7,0.0,36.0
44,1959-02-14,9.7,-3.1,0.0,16.6
45,1959-02-15,11.9,-2.1,0.0,15.5
46,1959-02-16,13.1,-2.2,0.0,28.4
47,1959-02-17,12.8,2.3,0.0,29.9
48,1959-02-18,11.8,-0.0,0.0,18.4
49,1959-02-19,13.8,-1.9,0.0,18.4
50,1959-02-20,12.3,-1.1,0.0,36.4
51,1959-02-21,13.8,1.3,0.0,47.9
52,1959-02-22,15.8,1.5,0.0,34.6
53,1959-02-23,14.3,1.0,0.0,36.0
54,1959-02-24,11.4,3.1,0.0,20.9
55,1959-02-25,13.6,6.1,0.0,55.1
56,1959-02-26,14.2,2.9,0.0,18.7
57,1959-02-27,14.7,1.1,0.0,18.7
58,1959-02-28,14.2,0.1,0.0,24.1
59,1959-03-01,13.7,0.9,0.0,24.5
60,1959-03-02,14.5,1.7,0.0,36.0
61,1959-03-03,13.1,6.4,0.0,53.3
62,1959-03-04,11.5,9.7,7.6,56.5
