,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,10.0,5.1,0.0,25.6
2,1959-01-03,11.2,5.3,0.0,44.6
3,1959-01-04,11.6,4.7,0.0,48.2
4,1959-01-05,10.1,6.4,0.1,27.7
5,1959-01-06,10.7,6.0,0.0,22.0
6,1959-01-07,13.2,5.2,0.0,41.4
7,1959-01-08,14.1,5.5,0.0,54.4
8,1959-01-09,8.9,4.4,2.3,19.1
9,1959-01-10,8.0,3.8,0.8,17.6
10,1959-01-11,7.2,5.2,1.5,17.3
11,1959-01-12,7.2,3.8,0.0,15.8
12,1959-01-13,7.5,2.5,0.0,32.4
13,1959-01-14,13.2,5.5,0.1,33.5
14,1959-01-15,13.0,8.0,1.4,33.8
15,1959-01-16,13.0,5.0,0.0,37.8
16,1959-01-17,9.0,3.2,0.0,19.8
17,1959-01-18,10.9,2.6,0.0,29.5
18,1959-01-19,11.8,6.3,0.0,18.7
19,1959-01-20,13.0,6.5,0.0,21.2
20,1959-01-21,14.1,7.9,0.2,31.3
21,1959-01-22,15.0,8.0,0.0,43.6
22,1959-01-23,14.5,8.8,0.1,25.2
23,1959-01-24,14.8,7.5,0.0,19.4
24,1959-01-25,13.0,8.2,0.0,23.0
25,1959-01-26,10.6,6.6,0.0,23.4
26,1959-01-27,12.5,7.4,0.0,26.3
27,1959-01-28,11.5,6.8,0.1,16.9
28,1959-01-29,11.1,6.6,0.2,26.3
29,1959-01-30,11.7,5.6,0.0,19.1
30,1959-01-31,11.6,6.1,0.0,23.8
31,1959-02-01,10.9,6.3,0.5,19.1
32,1959-02-02,8.4,3.7,5.3,46.1
33,1959-02-03,9.9,4.5,24.1,54.0
34,1959-02-04,11.3,8.1,22.0,44.3
35,1959-02-05,13.5,9.2,0.7,28.4
36,1959-02-06,13.5,9.8,0.5,28.4
37,1959-02-07,12.4,9.5,9.8,28.4
38,1959-02-08,12.3,10.0,10.4,42.8
39,1959-02-09,12.9,8.4,2.0,46.1
40,1959-02-10,12.4,6.6,0.2,21.2
41,1959-02-11,10.1,8.0,17.6,23.0
42,1959-02-12,11.9,6.7,0.6,39.2
43,1959-02-13,13.2,8.9,1.5,33.5
44,1959-02-14,12.4,7.4,1.1,31.3
45,1959-02-15,11.8,6.5,0.0,22.7
46,1959-02-16,12.4,4.6,0.0,18.0
47,1959-02-17,13.3,5.3,0.0,19.8
48,1959-02-18,12.8,5.3,0.0,18.4
49,1959-02-19,14.0,4.4,0.0,21.6
50,1959-02-20,14.5,6.7,0.0,22.3
51,1959-02-21,15.4,5.8,0.0,20.2
52,1959-02-22,16.6,7.1,0.0,20.2
53,1959-02-23,14.5,7.9,0.0,21.6
54,1959-02-24,13.0,8.4,0.2,25.9
55,1959-02-25,13.3,10.6,1.2,37.1
56,1959-02-26,13.6,9.4,3.3,37.8
57,1959-02-27,13.3,8.5,0.0,23.4
58,1959-02-28,13.4,9.9,3.3,19.4
59,1959-03-01,13.3,9.9,2.5,24.8
60,1959-03-02,14.2,10.6,1.9,25.2
61,1959-03-03,14.5,11.7,0.7,22.0
62,1959-03-04,15.4,9.7,5.0,39.6
63,1959-03-05,16.5,9.7,0.0,33.1
64,1959-03-06,15.2,9.3,3.0,35.3
65,1959-03-07,15.5,8.8,0.3,36.4
66,1959-03-08,14.9,7.6,0.0,22.3
67,1959-03-09,12.6,9.8,6.6,61.2
68,1959-03-10,13.8,10.0,9.7,59.4
69,1959-03-11,16.0,9.6,3.1,24.5
70,1959-03-12,14.0,8.4,21.1,36.7
71,1959-03-13,15.4,6.8,0.0,29.5
72,1959-03-14,13.2,5.9,0.0,23.8
73,1959-03-15,14.3,6.0,0.0,31.3
74,1959-03-16,14.6,6.5,0.0,32.0
75,1959-03-17,12.7,6.8,0.5,38.2
76,1959-03-18,14.0,10.1,1.0,33.5
77,1959-03-19,14.5,10.1,0.1,24.8
78,1959-03-20,14.6,9.8,0.0,40.3
79,1959-03-21,13.8,12.1,4.0,35.6
80,1959-03-22,15.4,12.3,1.3,21.2
81,1959-03-23,14.7,12.3,0.0,22.0
82,1959-03-24,14.6,11.9,0.4,26.3
83,1959-03-25,12.5,8.7,16.5,35.6
84,1959-03-26,15.0,8.5,0.0,29.2
85,1959-03-27,16.0,9.4,0.0,23.0
86,1959-03-28,15.8,10.9,0.4,24.5
87,1959-03-29,15.6,11.6,2.5,42.5
88,1959-03-30,13.4,9.7,2.9,34.9
89,1959-03-31,16.4,7.6,0.0,25.2
90,1959-04-01,17.0,8.4,0.0,25.2
91,1959-04-02,18.6,9.2,0.0,26.3
92,1959-04-03,17.8,8.8,0.0,32.4
93,1959-04-04,18.7,8.7,0.0,23.8
94,1959-04-05,15.9,9.7,0.1,21.6
95,1959-04-06,14.9,10.6,0.9,28.1
96,1959-04-07,16.6,9.3,0.0,23.4
97,1959-04-08,15.5,10.7,0.0,27.7
98,1959-04-09,16.0,10.7,0.9,46.4
99,1959-04-10,16.0,10.7,0.0,53.3
100,1959-04-11,15.7,8.3,0.0,34.9
101,1959-04-12,17.0,9.8,0.0,29.2
102,1959-04-13,16.9,10.7,0.0,37.8
103,1959-04-14,17.1,12.3,0.6,35.3
104,1959-04-15,19.0,12.1,0.5,36.0
105,1959-04-16,17.6,13.7,1.1,63.7
106,1959-04-17,16.0,9.6,0.0,51.5
107,1959-04-18,19.3,9.8,0.3,41.4
108,1959-04-19,18.7,12.1,0.0,42.8
109,1959-04-20,15.3,8.4,0.3,28.1
110,1959-04-21,15.1,9.1,0.8,29.5
111,1959-04-22,13.5,9.0,2.0,29.2
112,1959-04-23,15.2,8.9,0.2,37.8
113,1959-04-24,15.2,10.2,3.4,28.8
114,1959-04-25,18.2,10.2,0.0,28.8
115,1959-04-26,16.6,11.4,0.6,35.3
116,1959-04-27,15.5,11.6,0.0,27.7
117,1959-04-28,20.7,12.1,0.2,28.8
118,1959-04-29,16.8,13.1,2.7,38.5
119,1959-04-30,15.5,10.7,2.6,38.5
120,1959-05-01,17.9,9.9,0.0,29.2
121,1959-05-02,16.1,11.2,0.2,33.5
122,1959-05-03,16.5,12.0,0.6,29.9
123,1959-05-04,17.7,10.6,0.0,31.7
124,1959-05-05,16.1,11.5,0.0,30.6
125,1959-05-06,16.3,11.8,0.4,30.6
126,1959-05-07,17.7,13.3,0.2,57.6
127,1959-05-08,18.5,14.8,1.9,73.1
128,1959-05-09,18.9,13.8,0.2,36.0
129,1959-05-10,18.3,13.2,0.0,24.5
130,1959-05-11,17.7,14.1,0.0,23.0
131,1959-05-12,18.2,13.6,3.4,29.2
132,1959-05-13,20.7,13.4,0.0,21.2
133,1959-05-14,21.3,14.6,0.1,25.2
134,1959-05-15,21.1,14.2,0.5,27.7
135,1959-05-16,17.9,14.3,0.1,28.1
136,1959-05-17,18.1,14.0,0.8,26.6
137,1959-05-18,19.5,12.7,0.0,28.4
138,1959-05-19,19.4,13.1,0.0,29.2
139,1959-05-20,19.9,14.3,1.4,59.4
140,1959-05-21,20.1,15.6,0.1,36.4
141,1959-05-22,18.4,14.6,7.2,33.5
142,1959-05-23,17.2,12.9,11.6,27.0
143,1959-05-24,17.1,14.2,10.0,23.8
144,1959-05-25,16.7,14.3,19.0,23.0
145,1959-05-26,18.9,13.8,0.1,26.6
146,1959-05-27,20.9,14.1,0.0,22.7
147,1959-05-28,20.3,15.0,0.6,25.9
148,1959-05-29,19.5,15.2,2.4,27.0
149,1959-05-30,17.3,14.5,16.7,25.2
150,1959-05-31,17.3,14.1,7.8,31.3
151,1959-06-01,19.9,14.5,0.0,29.5
152,1959-06-02,22.1,15.7,0.0,22.0
153,1959-06-03,23.3,15.6,0.0,23.8
154,1959-06-04,21.6,16.5,0.6,24.1
155,1959-06-05,21.3,15.4,0.0,25.2
156,1959-06-06,21.9,15.4,3.8,34.6
157,1959-06-07,18.2,16.4,12.6,31.7
158,1959-06-08,22.1,16.6,0.0,24.5
159,1959-06-09,21.4,16.1,0.0,26.6
160,1959-06-10,19.0,15.8,0.1,30.6
161,1959-06-11,19.6,15.6,2.4,24.1
162,1959-06-12,19.6,15.9,3.7,25.6
163,1959-06-13,19.5,14.8,0.6,36.0
164,1959-06-14,21.9,14.8,0.0,32.4
165,1959-06-15,23.5,15.3,0.0,25.9
166,1959-06-16,23.1,16.7,0.0,27.7
167,1959-06-17,23.1,16.5,0.0,20.9
168,1959-06-18,23.5,16.1,0.0,28.1
169,1959-06-19,23.4,18.1,0.0,28.4
170,1959-06-20,23.0,17.7,0.8,27.4
171,1959-06-21,23.5,18.6,0.6,28.4
172,1959-06-22,23.5,17.2,0.0,26.3
173,1959-06-23,25.5,18.2,0.0,29.5
174,1959-06-24,26.2,19.0,0.0,27.7
175,1959-06-25,25.1,18.5,0.0,27.7
176,1959-06-26,22.5,19.1,1.2,28.1
177,1959-06-27,24.3,19.2,0.0,31.0
178,1959-06-28,23.3,19.1,0.3,33.5
179,1959-06-29,23.2,18.4,2.8,42.1
180,1959-06-30,21.5,16.6,15.4,46.1
181,1959-07-01,22.4,16.6,0.0,34.2
182,1959-07-02,24.7,17.7,0.0,28.4
183,1959-07-03,27.0,18.9,0.0,33.1
184,1959-07-04,26.7,18.2,0.0,34.6
185,1959-07-05,25.7,18.0,0.0,26.6
186,1959-07-06,27.6,19.6,0.0,25.6
187,1959-07-07,27.6,21.6,0.0,26.6
188,1959-07-08,25.8,19.5,0.0,29.5
189,1959-07-09,27.3,19.3,0.0,24.8
190,1959-07-10,26.1,19.1,0.0,27.0
191,1959-07-11,26.3,20.1,0.0,35.6
192,1959-07-12,26.1,20.1,0.0,37.8
193,1959-07-13,26.0,20.2,0.0,25.6
194,1959-07-14,27.0,20.9,0.7,28.1
195,1959-07-15,25.0,19.2,0.2,34.6
196,1959-07-16,25.2,20.3,0.2,31.0
197,1959-07-17,26.4,21.0,0.0,33.5
198,1959-07-18,27.7,20.9,0.1,31.0
199,1959-07-19,28.4,21.9,0.6,33.1
200,1959-07-20,29.2,21.8,0.0,29.5
201,1959-07-21,29.1,22.3,0.0,32.4
202,1959-07-22,28.8,21.2,0.0,37.1
203,1959-07-23,27.8,20.5,0.0,32.8
204,1959-07-24,26.2,21.4,2.4,34.9
205,1959-07-25,26.8,21.4,0.0,39.2
206,1959-07-26,28.4,21.0,0.0,36.0
207,1959-07-27,28.4,21.2,0.0,34.2
208,1959-07-28,28.9,19.9,0.0,26.6
209,1959-07-29,26.7,21.9,0.0,37.8
210,1959-07-30,22.5,20.5,3.3,31.0
211,1959-07-31,22.5,19.4,2.2,29.9
212,1959-08-01,24.5,20.4,1.5,32.0
213,1959-08-02,24.0,21.0,1.6,33.5
214,1959-08-03,24.0,21.0,0.1,27.7
215,1959-08-04,25.8,19.2,0.0,29.2
216,1959-08-05,26.5,19.7,0.0,31.3
217,1959-08-06,27.4,20.1,0.0,31.7
218,1959-08-07,26.9,20.0,0.0,31.0
219,1959-08-08,25.9,20.4,1.6,27.0
220,1959-08-09,26.4,21.0,0.0,24.8
221,1959-08-10,27.1,20.8,0.6,33.1
222,1959-08-11,25.3,20.5,0.4,31.7
223,1959-08-12,24.9,18.9,1.4,32.4
224,1959-08-13,26.3,19.8,0.0,38.5
225,1959-08-14,26.7,21.0,0.0,32.8
226,1959-08-15,25.3,21.3,0.0,31.0
227,1959-08-16,24.6,20.6,0.0,31.7
228,1959-08-17,25.3,21.4,0.4,29.9
229,1959-08-18,24.6,21.0,0.0,28.1
230,1959-08-19,26.1,19.5,0.0,28.4
231,1959-08-20,26.1,20.5,0.0,32.8
232,1959-08-21,25.6,21.6,2.0,28.8
233,1959-08-22,23.3,20.3,1.3,27.4
234,1959-08-23,21.9,18.4,7.9,28.4
235,1959-08-24,25.5,18.0,0.6,24.5
236,1959-08-25,24.1,20.2,9.0,32.4
237,1959-08-26,24.9,19.6,0.9,34.2
238,1959-08-27,25.2,18.6,0.0,25.9
