,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,11.5,6.1,0.2,30.6
2,1959-01-03,11.6,5.4,0.0,43.9
3,1959-01-04,10.0,4.6,0.7,59.8
4,1959-01-05,11.2,2.9,0.0,31.3
5,1959-01-06,10.0,4.8,0.0,40.3
6,1959-01-07,13.2,4.6,0.0,52.2
7,1959-01-08,11.1,5.7,0.0,55.1
8,1959-01-09,10.8,3.1,0.0,27.7
9,1959-01-10,9.0,2.8,0.0,32.8
10,1959-01-11,8.7,2.8,0.0,18.0
11,1959-01-12,8.6,2.8,0.2,27.4
12,1959-01-13,9.0,3.0,0.0,29.5
13,1959-01-14,12.5,4.9,0.0,38.9
14,1959-01-15,15.0,8.7,0.4,50.8
15,1959-01-16,13.0,5.6,0.7,26.3
16,1959-01-17,10.8,5.0,8.0,24.5
17,1959-01-18,9.6,4.7,0.0,20.9
18,1959-01-19,10.6,5.2,0.8,20.5
19,1959-01-20,11.8,7.4,0.0,21.2
20,1959-01-21,13.1,7.9,1.3,22.3
21,1959-01-22,14.1,9.1,1.0,18.7
22,1959-01-23,14.7,7.5,0.2,19.8
23,1959-01-24,16.6,7.5,0.0,31.3
24,1959-01-25,13.9,8.5,4.5,25.2
25,1959-01-26,10.1,7.4,0.0,18.7
26,1959-01-27,12.1,6.6,0.0,20.9
27,1959-01-28,11.4,5.7,0.0,20.2
28,1959-01-29,12.8,6.0,0.0,19.1
29,1959-01-30,12.5,6.4,0.0,16.2
30,1959-01-31,10.2,7.3,0.1,18.4
31,1959-02-01,10.2,6.9,2.2,34.9
32,1959-02-02,8.3,5.5,7.8,49.3
33,1959-02-03,10.9,5.4,1.4,47.5
34,1959-02-04,11.1,8.0,5.0,54.0
35,1959-02-05,13.6,7.3,1.3,45.4
36,1959-02-06,13.8,5.2,0.0,20.5
37,1959-02-07,13.8,4.9,0.0,19.1
38,1959-02-08,13.8,5.7,0.0,33.1
39,1959-02-09,12.0,4.1,0.0,23.4
40,1959-02-10,11.6,6.6,0.0,15.1
41,1959-02-11,11.3,6.2,0.0,20.9
42,1959-02-12,11.2,7.0,0.0,30.6
43,1959-02-13,11.6,5.6,0.0,22.3
44,1959-02-14,11.9,4.3,0.0,19.8
45,1959-02-15,14.7,4.7,0.0,16.6
46,1959-02-16,15.1,5.6,0.0,21.2
47,1959-02-17,14.6,4.9,0.0,27.0
48,1959-02-18,14.1,5.0,0.0,20.5
49,1959-02-19,16.4,5.3,0.0,15.8
50,1959-02-20,15.6,5.1,0.0,22.0
51,1959-02-21,16.2,5.8,0.0,19.1
52,1959-02-22,17.6,6.8,0.0,18.4
53,1959-02-23,16.2,7.7,0.0,23.8
54,1959-02-24,13.3,9.8,0.0,23.4
55,1959-02-25,15.5,8.3,0.0,37.8
56,1959-02-26,15.3,6.4,0.0,19.8
57,1959-02-27,16.8,6.2,0.0,18.4
58,1959-02-28,16.8,5.9,0.0,19.4
59,1959-03-01,15.3,6.4,0.0,19.4
60,1959-03-02,16.5,5.7,0.0,19.8
61,1959-03-03,15.7,6.8,0.0,28.4
62,1959-03-04,14.4,11.9,14.6,37.8
63,1959-03-05,15.6,11.9,0.6,23.0
64,1959-03-06,14.7,10.6,1.6,24.5
65,1959-03-07,14.2,12.0,15.6,27.4
66,1959-03-08,17.4,7.0,0.0,24.1
67,1959-03-09,15.5,9.3,0.0,41.0
68,1959-03-10,14.0,9.8,10.0,56.2
69,1959-03-11,14.9,8.6,0.0,22.7
70,1959-03-12,13.5,10.2,5.6,25.6
71,1959-03-13,17.1,9.5,0.3,23.4
72,1959-03-14,16.2,8.3,0.1,25.9
73,1959-03-15,14.9,6.6,0.0,25.9
74,1959-03-16,15.2,5.8,0.1,26.3
75,1959-03-17,12.8,8.9,0.6,56.5
76,1959-03-18,11.5,9.0,4.6,46.1
77,1959-03-19,14.3,10.2,0.7,28.8
78,1959-03-20,15.5,7.1,0.0,23.0
79,1959-03-21,17.1,9.4,0.0,45.7
80,1959-03-22,14.8,11.0,2.4,19.8
81,1959-03-23,15.7,9.8,0.4,22.0
82,1959-03-24,16.2,10.1,0.0,23.8
83,1959-03-25,13.9,11.4,18.3,27.0
84,1959-03-26,15.3,9.9,1.6,23.8
85,1959-03-27,17.4,8.0,0.0,29.2
86,1959-03-28,16.4,9.1,0.1,22.7
87,1959-03-29,15.5,12.4,5.7,29.5
88,1959-03-30,17.4,9.7,2.7,39.2
89,1959-03-31,13.6,10.7,12.2,44.6
90,1959-04-01,20.1,9.1,0.0,25.6
91,1959-04-02,20.4,9.4,0.0,25.6
92,1959-04-03,19.1,9.6,0.0,23.0
93,1959-04-04,19.2,9.8,0.0,27.4
94,1959-04-05,18.6,9.7,0.0,37.1
95,1959-04-06,17.5,9.4,0.0,34.2
96,1959-04-07,20.2,11.6,0.0,65.5
97,1959-04-08,19.1,9.1,0.0,28.4
98,1959-04-09,17.5,11.1,0.7,53.3
99,1959-04-10,15.2,9.6,0.2,67.3
100,1959-04-11,19.0,9.0,0.0,51.1
101,1959-04-12,17.7,9.0,0.0,27.7
102,1959-04-13,17.7,10.2,0.0,24.8
103,1959-04-14,19.6,10.9,0.0,34.6
104,1959-04-15,18.8,10.2,0.0,24.8
105,1959-04-16,14.6,11.1,49.4,50.4
106,1959-04-17,16.1,10.6,15.2,47.9
107,1959-04-18,16.6,9.3,0.0,31.3
108,1959-04-19,17.6,11.7,2.0,27.0
109,1959-04-20,16.1,10.5,15.3,25.6
110,1959-04-21,15.3,11.1,1.2,44.3
111,1959-04-22,14.9,6.6,0.1,40.7
112,1959-04-23,15.5,8.3,0.0,34.6
113,1959-04-24,16.7,7.5,0.6,24.5
114,1959-04-25,17.2,9.4,0.0,25.9
115,1959-04-26,16.6,9.6,0.3,25.6
116,1959-04-27,16.1,12.2,12.7,29.5
117,1959-04-28,14.3,12.6,16.8,24.8
118,1959-04-29,15.2,12.6,22.1,46.4
119,1959-04-30,16.4,11.6,32.7,42.8
120,1959-05-01,17.0,8.7,0.1,24.5
121,1959-05-02,17.7,11.0,1.3,30.2
122,1959-05-03,18.9,9.8,0.5,25.2
123,1959-05-04,18.2,14.0,0.1,25.9
124,1959-05-05,18.7,12.2,0.0,23.0
125,1959-05-06,20.1,10.7,0.0,32.8
126,1959-05-07,19.5,13.0,0.1,29.2
127,1959-05-08,21.7,13.5,0.0,55.4
128,1959-05-09,18.8,14.2,12.4,40.3
129,1959-05-10,21.3,14.6,0.6,34.9
130,1959-05-11,21.8,13.7,0.0,21.2
131,1959-05-12,23.1,14.4,0.4,20.9
132,1959-05-13,22.0,14.5,3.1,25.6
133,1959-05-14,20.6,15.0,6.2,24.5
134,1959-05-15,19.9,12.0,5.8,25.6
135,1959-05-16,19.0,13.0,1.2,25.2
136,1959-05-17,21.4,11.6,0.0,24.1
137,1959-05-18,21.1,14.5,0.0,24.8
138,1959-05-19,20.7,16.8,0.1,25.6
139,1959-05-20,21.9,15.1,0.0,29.5
140,1959-05-21,22.3,16.2,0.5,37.1
141,1959-05-22,18.1,15.3,51.6,61.9
142,1959-05-23,18.6,15.2,11.7,48.6
143,1959-05-24,18.1,15.7,13.2,32.0
144,1959-05-25,19.4,14.2,6.0,36.0
145,1959-05-26,21.5,13.9,1.6,24.1
146,1959-05-27,23.6,13.6,0.0,23.0
147,1959-05-28,21.5,15.5,0.0,24.1
148,1959-05-29,20.5,15.7,2.1,22.0
149,1959-05-30,21.0,15.0,2.5,23.4
150,1959-05-31,19.8,14.9,10.6,24.5
151,1959-06-01,22.3,12.8,0.1,32.4
152,1959-06-02,22.4,15.2,1.3,26.3
153,1959-06-03,23.8,14.1,0.0,25.6
154,1959-06-04,24.4,15.2,0.0,27.7
155,1959-06-05,22.7,15.6,0.0,23.8
156,1959-06-06,23.4,16.7,0.1,26.6
157,1959-06-07,25.3,16.3,0.0,33.5
158,1959-06-08,26.3,17.6,0.0,22.3
159,1959-06-09,26.0,18.8,0.0,22.0
160,1959-06-10,23.1,18.6,1.4,25.2
161,1959-06-11,21.3,19.3,2.4,22.0
162,1959-06-12,18.7,15.4,4.2,37.8
163,1959-06-13,22.7,13.6,0.1,25.9
164,1959-06-14,24.1,15.0,1.0,28.1
165,1959-06-15,24.8,18.1,0.5,26.3
166,1959-06-16,25.0,17.0,0.5,26.6
167,1959-06-17,23.9,17.7,1.1,24.8
168,1959-06-18,23.8,19.6,0.1,22.7
169,1959-06-19,24.4,19.2,0.0,22.3
170,1959-06-20,25.8,21.0,0.5,23.8
171,1959-06-21,25.5,19.5,1.9,19.1
172,1959-06-22,25.2,18.7,0.8,24.8
