,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,3.9,0.6,13.5,78.1
2,1959-01-03,1.1,-0.7,2.9,39.6
3,1959-01-04,-0.5,-2.2,1.1,41.4
4,1959-01-05,0.7,-1.1,2.4,43.2
5,1959-01-06,3.6,-0.2,12.7,55.4
6,1959-01-07,6.6,0.1,13.7,64.1
7,1959-01-08,0.4,-2.0,6.4,51.1
8,1959-01-09,-1.8,-3.5,6.5,48.2
9,1959-01-10,-1.9,-4.4,4.5,46.1
10,1959-01-11,-3.0,-7.5,1.7,47.5
11,1959-01-12,-1.1,-5.8,7.0,60.1
12,1959-01-13,-0.7,-2.2,4.6,46.8
13,1959-01-14,-0.3,-3.6,0.3,27.4
14,1959-01-15,-1.4,-8.3,0.0,22.7
15,1959-01-16,-2.0,-8.4,0.2,20.5
16,1959-01-17,-1.6,-4.4,0.9,41.0
17,1959-01-18,0.4,-3.5,0.9,50.4
18,1959-01-19,4.5,0.3,0.0,56.2
19,1959-01-20,6.9,4.2,2.5,75.6
20,1959-01-21,6.4,3.8,2.3,74.2
21,1959-01-22,9.8,5.0,2.9,82.4
22,1959-01-23,8.3,3.4,8.5,75.2
23,1959-01-24,3.2,-1.1,5.4,49.7
24,1959-01-25,1.4,-1.8,2.0,34.9
25,1959-01-26,0.6,-3.8,0.0,21.2
26,1959-01-27,3.4,-2.4,0.0,27.4
27,1959-01-28,4.5,-2.2,0.0,27.0
28,1959-01-29,6.1,-3.8,0.0,19.4
29,1959-01-30,3.2,-3.4,0.0,13.7
30,1959-01-31,0.8,-4.2,0.5,42.1
31,1959-02-01,-0.8,-4.5,0.0,48.6
32,1959-02-02,-1.0,-5.0,0.0,45.4
33,1959-02-03,-0.4,-5.9,0.0,47.2
34,1959-02-04,2.0,-3.9,0.0,48.2
35,1959-02-05,3.7,-4.1,0.0,26.6
36,1959-02-06,0.9,-4.5,0.0,12.6
37,1959-02-07,1.2,-6.4,0.0,16.6
38,1959-02-08,3.1,-3.8,0.0,15.1
39,1959-02-09,0.1,-3.3,0.0,16.6
40,1959-02-10,4.9,0.6,0.1,18.0
41,1959-02-11,2.8,-0.3,0.0,22.0
42,1959-02-12,1.6,-3.5,0.0,16.6
43,1959-02-13,1.0,-3.8,0.0,13.3
44,1959-02-14,4.4,-4.8,0.0,14.4
45,1959-02-15,5.4,-3.8,0.0,15.1
46,1959-02-16,7.8,-1.7,0.0,10.4
47,1959-02-17,5.0,-2.0,0.0,19.8
48,1959-02-18,6.8,-0.4,0.0,18.0
49,1959-02-19,3.8,-2.2,0.0,13.3
50,1959-02-20,8.1,-2.9,0.1,46.4
51,1959-02-21,3.9,1.5,4.1,49.3
52,1959-02-22,3.5,0.2,2.4,39.2
53,1959-02-23,5.5,1.2,0.5,26.3
54,1959-02-24,6.7,1.5,0.0,28.1
55,1959-02-25,8.9,-0.2,0.0,24.1
56,1959-02-26,11.9,-1.9,0.0,28.1
57,1959-02-27,14.5,1.4,0.0,23.0
58,1959-02-28,15.3,4.0,0.0,27.0
59,1959-03-01,14.7,2.2,0.0,19.8
60,1959-03-02,14.1,4.5,0.0,42.1
61,1959-03-03,12.2,6.7,0.5,56.2
62,1959-03-04,9.0,6.1,3.3,51.1
63,1959-03-05,11.4,4.3,1.7,69.1
64,1959-03-06,9.6,6.4,7.1,52.9
65,1959-03-07,9.5,5.2,1.0,40.3
66,1959-03-08,9.8,5.0,1.9,24.8
67,1959-03-09,10.5,1.7,0.0,43.6
