,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,21.5,16.5,0.4,50.8
2,1959-01-03,21.4,14.6,0.0,43.6
3,1959-01-04,22.1,9.9,0.0,27.7
4,1959-01-05,21.5,9.0,0.0,26.6
5,1959-01-06,22.5,9.9,0.0,20.5
6,1959-01-07,23.0,11.8,0.0,23.4
7,1959-01-08,23.3,11.7,0.0,30.2
8,1959-01-09,23.6,12.9,0.0,24.5
9,1959-01-10,23.4,13.6,0.6,26.3
10,1959-01-11,23.9,15.1,0.0,24.8
11,1959-01-12,23.3,14.1,0.0,23.8
12,1959-01-13,23.6,11.6,0.0,21.2
13,1959-01-14,23.8,14.7,0.1,25.2
14,1959-01-15,23.5,13.1,0.0,24.5
15,1959-01-16,24.5,16.8,15.8,56.9
16,1959-01-17,21.0,17.8,22.7,49.7
17,1959-01-18,21.8,16.3,0.1,37.1
18,1959-01-19,20.9,13.8,0.0,22.3
19,1959-01-20,22.2,11.5,0.0,24.5
20,1959-01-21,23.8,14.2,0.1,17.6
21,1959-01-22,20.9,17.3,7.2,29.5
22,1959-01-23,18.4,14.8,8.8,54.4
23,1959-01-24,18.9,13.9,0.2,45.4
24,1959-01-25,19.8,13.3,0.0,19.1
25,1959-01-26,19.7,9.2,0.0,18.7
26,1959-01-27,20.0,13.3,0.0,50.8
27,1959-01-28,21.3,10.5,0.0,18.7
28,1959-01-29,22.4,10.2,0.0,23.0
29,1959-01-30,23.1,10.4,0.0,22.0
30,1959-01-31,21.4,10.2,0.0,22.7
31,1959-02-01,23.0,10.4,0.0,26.6
32,1959-02-02,23.1,11.5,0.0,47.2
33,1959-02-03,21.8,15.2,0.0,49.7
34,1959-02-04,21.0,11.9,0.0,31.7
35,1959-02-05,20.4,12.9,0.0,26.6
36,1959-02-06,23.4,8.4,0.0,29.2
37,1959-02-07,25.8,11.4,0.0,25.2
38,1959-02-08,27.5,15.8,0.0,43.2
39,1959-02-09,25.8,17.2,0.0,49.0
40,1959-02-10,18.6,14.9,0.0,63.0
