,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,2.7,-2.0,0.0,27.0
2,1959-01-03,4.6,2.1,2.3,20.9
3,1959-01-04,3.3,-2.5,1.7,35.3
4,1959-01-05,2.0,-2.0,0.1,46.1
5,1959-01-06,3.2,-2.9,0.0,41.4
6,1959-01-07,5.4,2.1,1.6,39.2
7,1959-01-08,5.5,4.0,6.6,32.4
8,1959-01-09,4.1,-0.7,12.0,50.8
9,1959-01-10,0.0,-3.4,1.0,49.7
10,1959-01-11,-1.6,-5.4,0.0,25.6
11,1959-01-12,-0.3,-5.9,0.0,20.5
12,1959-01-13,-0.9,-4.5,0.0,32.0
13,1959-01-14,2.0,-4.4,0.1,27.7
14,1959-01-15,1.1,-2.7,0.3,29.2
15,1959-01-16,-2.4,-7.4,0.2,34.2
16,1959-01-17,-2.8,-7.7,0.0,36.7
17,1959-01-18,-1.8,-10.0,0.0,18.7
18,1959-01-19,-0.5,-5.2,0.0,19.1
19,1959-01-20,2.1,-7.1,0.0,33.1
20,1959-01-21,8.1,1.4,0.0,43.2
21,1959-01-22,9.1,0.7,0.0,33.5
22,1959-01-23,10.5,4.0,2.0,25.9
23,1959-01-24,7.6,1.0,2.0,58.7
24,1959-01-25,3.3,-0.9,0.2,61.2
25,1959-01-26,0.8,-2.7,0.3,54.0
26,1959-01-27,0.3,-1.9,0.1,26.3
27,1959-01-28,3.4,-1.5,0.0,29.2
28,1959-01-29,0.7,-3.7,0.0,16.9
29,1959-01-30,1.4,-3.5,0.0,17.3
30,1959-01-31,1.1,-1.1,0.0,18.0
31,1959-02-01,2.6,-0.4,0.3,32.8
32,1959-02-02,2.2,-1.6,0.0,17.3
33,1959-02-03,1.6,-2.8,0.0,16.6
34,1959-02-04,0.5,-6.1,0.0,14.4
35,1959-02-05,0.8,-5.5,0.0,13.7
36,1959-02-06,-1.1,-5.1,0.0,15.5
37,1959-02-07,-0.5,-3.1,0.0,19.1
38,1959-02-08,-0.4,-2.1,0.0,19.8
39,1959-02-09,-0.9,-3.1,0.0,12.2
40,1959-02-10,-1.3,-4.4,0.0,14.4
41,1959-02-11,-0.1,-5.5,0.0,15.1
42,1959-02-12,-3.2,-5.8,0.0,22.0
43,1959-02-13,-3.3,-6.7,0.0,12.2
44,1959-02-14,-0.8,-9.5,0.0,20.5
45,1959-02-15,2.6,-8.8,0.0,16.6
46,1959-02-16,2.6,-4.6,0.1,25.2
47,1959-02-17,4.5,-5.7,0.0,20.9
48,1959-02-18,7.1,-3.4,0.0,31.7
49,1959-02-19,7.4,-0.4,0.0,45.4
50,1959-02-20,7.3,-2.8,0.0,32.4
51,1959-02-21,6.1,0.9,2.2,76.7
52,1959-02-22,1.5,-4.2,0.3,40.3
53,1959-02-23,3.0,-3.0,0.0,48.6
54,1959-02-24,7.4,0.7,0.0,36.7
55,1959-02-25,8.3,1.6,0.0,33.8
56,1959-02-26,11.7,2.4,0.0,32.8
57,1959-02-27,11.4,-0.2,0.0,24.8
58,1959-02-28,13.8,0.3,0.0,25.2
59,1959-03-01,13.4,0.7,0.0,17.6
60,1959-03-02,13.2,0.1,0.0,22.7
61,1959-03-03,13.2,-0.9,0.0,22.0
62,1959-03-04,12.9,2.7,0.0,41.4
63,1959-03-05,13.7,6.8,1.4,36.4
64,1959-03-06,14.0,4.8,0.3,30.2
65,1959-03-07,16.0,9.6,0.5,40.7
66,1959-03-08,11.9,6.9,6.4,47.5
67,1959-03-09,12.5,3.2,0.0,37.1
68,1959-03-10,5.6,-1.2,0.0,38.9
69,1959-03-11,5.4,-0.5,0.0,43.9
70,1959-03-12,2.6,-0.3,2.9,28.8
71,1959-03-13,5.0,1.0,1.1,16.9
72,1959-03-14,9.3,1.8,0.1,28.4
73,1959-03-15,3.9,2.0,0.9,24.1
74,1959-03-16,7.9,2.0,0.3,19.4
75,1959-03-17,10.8,3.1,0.0,23.0
76,1959-03-18,11.5,3.2,0.0,37.4
77,1959-03-19,11.6,1.4,0.0,33.8
78,1959-03-20,13.2,-1.5,0.0,25.2
79,1959-03-21,15.2,0.9,0.0,21.2
80,1959-03-22,17.5,0.7,0.0,22.3
81,1959-03-23,17.7,0.9,0.0,13.0
82,1959-03-24,19.8,4.3,0.0,17.3
83,1959-03-25,20.0,4.5,0.0,28.1
84,1959-03-26,18.2,5.3,0.0,28.8
85,1959-03-27,17.5,5.3,0.0,16.9
86,1959-03-28,17.9,4.9,0.0,31.7
87,1959-03-29,15.4,7.9,0.4,33.8
88,1959-03-30,11.0,5.3,0.9,24.5
89,1959-03-31,14.9,6.0,0.1,35.6
90,1959-04-01,14.0,6.6,1.6,39.6
91,1959-04-02,14.3,4.4,0.0,20.2
92,1959-04-03,15.6,3.1,0.0,33.8
93,1959-04-04,16.0,0.5,0.0,24.8
94,1959-04-05,20.6,4.2,0.1,37.8
95,1959-04-06,14.7,8.9,0.2,41.8
96,1959-04-07,17.7,6.8,9.8,69.8
97,1959-04-08,13.9,4.8,0.0,42.5
98,1959-04-09,20.0,8.3,0.0,47.9
99,1959-04-10,16.9,8.1,1.8,64.8
100,1959-04-11,9.7,5.9,23.2,64.4
101,1959-04-12,15.0,4.1,0.2,40.0
102,1959-04-13,16.4,7.2,0.0,37.4
103,1959-04-14,18.5,5.0,0.0,24.1
104,1959-04-15,19.7,6.3,0.0,20.9
105,1959-04-16,21.1,6.4,0.2,32.4
106,1959-04-17,20.1,9.0,0.4,37.4
107,1959-04-18,14.4,11.1,14.7,24.5
108,1959-04-19,13.8,7.5,8.1,52.2
109,1959-04-20,7.0,2.5,0.0,56.9
110,1959-04-21,8.6,-0.3,0.0,34.9
111,1959-04-22,11.0,0.0,0.0,29.9
112,1959-04-23,13.1,1.0,0.0,18.4
113,1959-04-24,13.0,2.6,0.9,28.8
114,1959-04-25,13.0,6.3,4.1,18.7
115,1959-04-26,16.1,3.8,0.5,30.6
116,1959-04-27,17.3,6.6,0.2,42.1
117,1959-04-28,18.4,7.8,0.1,45.7
118,1959-04-29,18.1,9.3,3.9,38.9
119,1959-04-30,19.0,10.9,0.5,45.7
120,1959-05-01,16.0,9.5,19.8,34.6
121,1959-05-02,15.5,7.9,2.6,36.7
122,1959-05-03,13.9,6.3,0.3,50.4
123,1959-05-04,14.9,4.2,0.0,23.4
124,1959-05-05,17.7,3.7,0.0,20.9
125,1959-05-06,21.3,5.3,0.0,18.0
126,1959-05-07,21.6,6.8,0.0,20.5
127,1959-05-08,22.8,8.8,0.0,19.1
128,1959-05-09,24.1,10.5,0.0,34.2
129,1959-05-10,24.2,12.0,0.0,30.2
130,1959-05-11,24.0,13.2,0.0,27.7
131,1959-05-12,20.2,12.5,1.2,33.1
132,1959-05-13,16.8,10.3,4.5,32.0
133,1959-05-14,18.6,7.3,0.2,22.0
134,1959-05-15,17.0,9.4,1.6,24.5
135,1959-05-16,23.5,12.1,2.5,33.8
136,1959-05-17,21.5,15.2,9.3,29.9
137,1959-05-18,23.9,13.9,0.5,32.4
138,1959-05-19,24.8,12.3,0.7,19.4
139,1959-05-20,24.7,13.7,0.4,19.1
140,1959-05-21,26.8,14.0,1.1,19.4
141,1959-05-22,20.6,15.0,1.5,42.5
142,1959-05-23,18.0,11.3,0.0,53.3
143,1959-05-24,19.5,7.0,0.0,33.8
144,1959-05-25,21.0,7.0,0.0,22.7
145,1959-05-26,22.7,7.1,0.0,27.7
146,1959-05-27,21.0,12.1,0.0,49.0
147,1959-05-28,19.7,7.1,0.0,32.4
148,1959-05-29,18.8,9.7,2.8,26.3
149,1959-05-30,20.0,12.6,10.4,35.3
150,1959-05-31,15.3,13.3,10.9,24.5
151,1959-06-01,17.7,13.4,12.9,25.9
152,1959-06-02,21.1,14.0,1.1,33.1
153,1959-06-03,19.1,13.7,0.0,51.8
154,1959-06-04,17.4,11.1,0.0,51.5
155,1959-06-05,22.3,7.5,0.0,24.1
156,1959-06-06,24.6,11.6,0.0,23.4
157,1959-06-07,27.4,13.9,0.0,33.5
158,1959-06-08,27.9,15.0,0.0,28.1
159,1959-06-09,26.4,14.6,2.0,31.0
160,1959-06-10,22.3,15.1,6.1,44.6
161,1959-06-11,13.7,11.8,24.5,44.3
162,1959-06-12,15.9,11.9,17.8,27.4
163,1959-06-13,19.1,13.0,3.4,22.3
164,1959-06-14,19.3,13.6,9.2,30.6
165,1959-06-15,22.0,13.3,0.0,32.0
166,1959-06-16,21.7,11.1,1.0,51.5
167,1959-06-17,21.4,8.2,0.0,27.0
168,1959-06-18,25.2,11.6,0.0,23.4
169,1959-06-19,25.7,15.1,5.1,23.0
170,1959-06-20,26.5,14.7,1.3,22.0
171,1959-06-21,26.5,15.1,0.0,34.6
172,1959-06-22,27.0,14.8,0.0,24.1
173,1959-06-23,25.1,16.6,0.0,32.0
174,1959-06-24,23.5,13.5,0.0,30.6
175,1959-06-25,24.4,11.3,0.0,28.8
176,1959-06-26,25.7,13.9,0.0,20.2
177,1959-06-27,26.0,15.1,0.0,18.7
178,1959-06-28,26.6,17.0,0.2,28.1
179,1959-06-29,26.3,16.9,0.9,42.1
180,1959-06-30,18.6,14.4,1.2,37.8
181,1959-07-01,20.4,12.5,5.7,54.0
182,1959-07-02,23.4,13.8,0.2,50.8
183,1959-07-03,23.3,15.6,0.0,44.6
184,1959-07-04,22.6,16.2,1.4,40.3
185,1959-07-05,24.9,14.7,0.1,20.5
186,1959-07-06,26.7,14.9,0.0,26.3
187,1959-07-07,26.0,15.3,0.0,26.3
188,1959-07-08,29.3,15.3,0.0,25.6
189,1959-07-09,32.3,16.3,0.0,26.6
190,1959-07-10,33.7,18.5,0.0,25.2
191,1959-07-11,35.6,20.1,0.0,24.5
192,1959-07-12,37.0,19.3,0.0,22.7
193,1959-07-13,34.1,20.8,0.6,22.3
194,1959-07-14,31.4,21.1,3.6,38.5
195,1959-07-15,30.1,20.3,1.0,24.5
196,1959-07-16,26.1,18.9,6.0,30.6
197,1959-07-17,24.4,18.0,10.7,42.5
198,1959-07-18,19.3,16.6,24.2,33.8
199,1959-07-19,24.8,17.7,0.3,19.8
200,1959-07-20,25.1,17.0,10.4,23.0
201,1959-07-21,24.8,17.5,8.8,21.2
202,1959-07-22,24.0,17.2,1.0,19.1
203,1959-07-23,24.9,16.8,0.2,21.2
204,1959-07-24,27.1,16.1,0.1,28.1
205,1959-07-25,27.2,18.0,7.9,24.8
206,1959-07-26,27.3,17.4,0.4,23.0
207,1959-07-27,27.8,16.3,0.0,33.8
208,1959-07-28,29.6,18.8,0.0,35.6
209,1959-07-29,30.0,19.5,0.0,27.7
210,1959-07-30,29.9,18.8,0.8,30.6
211,1959-07-31,27.2,18.8,0.9,31.7
212,1959-08-01,22.3,16.2,0.0,48.2
213,1959-08-02,23.5,14.3,0.3,40.0
214,1959-08-03,22.5,13.7,0.3,34.9
215,1959-08-04,22.4,16.0,0.1,46.1
216,1959-08-05,22.7,14.3,0.1,38.2
217,1959-08-06,22.4,13.0,0.0,33.1
218,1959-08-07,24.9,15.2,0.0,29.5
219,1959-08-08,27.3,11.9,0.0,16.9
220,1959-08-09,28.2,14.0,0.0,20.9
221,1959-08-10,30.0,16.5,0.0,19.1
222,1959-08-11,28.3,18.5,1.3,26.3
223,1959-08-12,26.5,16.6,11.3,27.7
224,1959-08-13,26.1,17.9,9.0,23.0
225,1959-08-14,22.2,17.6,16.9,22.3
226,1959-08-15,23.9,16.3,3.4,20.2
227,1959-08-16,21.8,14.9,11.3,36.0
228,1959-08-17,19.4,13.9,5.1,32.4
229,1959-08-18,23.7,16.5,0.1,45.4
230,1959-08-19,24.9,15.4,1.3,38.5
231,1959-08-20,25.9,15.6,0.0,33.8
232,1959-08-21,27.7,14.9,0.0,21.6
233,1959-08-22,27.4,14.9,0.0,20.2
234,1959-08-23,28.0,15.2,0.0,24.1
235,1959-08-24,29.3,16.7,0.0,15.5
236,1959-08-25,29.4,16.8,0.1,22.0
237,1959-08-26,28.3,18.0,0.0,41.0
238,1959-08-27,25.8,15.8,0.0,47.9
