,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,7.3,-0.6,,
1,1959-01-02,5.4,-3.1,0.0,36.4
2,1959-01-03,0.5,-7.5,1.8,34.9
3,1959-01-04,-7.2,-20.6,2.7,49.0
4,1959-01-05,-11.7,-21.8,0.0,32.8
5,1959-01-06,-0.9,-15.2,0.0,28.8
6,1959-01-07,3.2,-1.0,0.0,25.9
7,1959-01-08,0.6,-6.6,0.0,40.3
8,1959-01-09,-2.6,-7.9,0.0,39.6
9,1959-01-10,-1.5,-10.9,0.0,33.8
10,1959-01-11,2.3,-9.8,0.0,22.3
11,1959-01-12,7.7,-2.0,0.0,33.1
12,1959-01-13,9.1,-1.1,0.0,20.9
13,1959-01-14,11.0,6.3,4.7,38.2
14,1959-01-15,9.5,-7.1,7.0,52.6
15,1959-01-16,-8.2,-17.3,0.0,57.2
16,1959-01-17,-10.4,-15.5,0.0,39.2
17,1959-01-18,-3.4,-17.3,0.0,46.8
18,1959-01-19,2.6,-3.4,3.9,81.4
19,1959-01-20,11.1,-3.2,16.8,37.1
20,1959-01-21,12.5,-8.4,40.5,65.2
21,1959-01-22,-8.6,-16.2,0.3,57.2
22,1959-01-23,-8.4,-15.9,0.1,30.2
23,1959-01-24,7.9,-9.7,0.0,55.1
24,1959-01-25,6.4,-0.6,2.2,44.3
25,1959-01-26,-0.6,-5.0,5.8,30.2
26,1959-01-27,-1.6,-7.4,0.1,21.2
27,1959-01-28,1.0,-7.3,0.0,17.6
28,1959-01-29,9.8,-4.8,4.8,67.7
29,1959-01-30,9.8,-1.3,0.5,65.5
30,1959-01-31,-1.4,-7.3,0.0,29.5
31,1959-02-01,-4.8,-9.9,1.6,35.6
32,1959-02-02,-2.6,-12.8,0.0,26.3
33,1959-02-03,3.6,-6.9,6.3,68.0
34,1959-02-04,1.2,-4.6,0.4,36.0
35,1959-02-05,-1.0,-7.1,0.0,36.7
36,1959-02-06,1.1,-11.3,0.0,40.3
37,1959-02-07,8.3,-2.6,0.1,46.4
38,1959-02-08,7.5,1.6,0.6,32.8
39,1959-02-09,16.2,1.6,11.3,78.1
40,1959-02-10,17.1,-4.1,28.2,92.2
41,1959-02-11,0.7,-6.3,0.0,68.8
42,1959-02-12,9.7,-3.5,1.6,46.4
43,1959-02-13,7.7,6.6,2.5,39.2
44,1959-02-14,11.3,1.5,9.3,43.2
45,1959-02-15,0.1,-4.4,0.0,50.4
46,1959-02-16,6.5,-1.6,0.0,37.8
47,1959-02-17,10.0,1.1,3.6,41.8
48,1959-02-18,1.1,-8.1,3.5,47.2
49,1959-02-19,-8.1,-14.2,0.0,39.2
50,1959-02-20,-6.6,-16.2,0.0,36.7
51,1959-02-21,4.9,-9.0,0.0,43.9
52,1959-02-22,7.6,-2.4,0.8,36.4
53,1959-02-23,6.3,2.2,9.3,74.5
54,1959-02-24,5.1,-1.9,0.0,32.4
55,1959-02-25,7.6,-3.4,0.0,25.9
56,1959-02-26,10.3,0.5,0.9,42.1
57,1959-02-27,15.2,1.4,0.1,38.2
58,1959-02-28,8.6,-0.6,6.4,23.0
59,1959-03-01,4.6,-1.0,0.0,32.0
60,1959-03-02,10.1,-2.3,1.5,50.8
61,1959-03-03,5.3,-0.6,0.9,54.4
62,1959-03-04,7.8,-4.2,0.0,29.2
63,1959-03-05,9.0,2.4,13.7,79.6
64,1959-03-06,9.2,-2.6,8.3,92.2
65,1959-03-07,3.7,-3.5,0.3,53.6
66,1959-03-08,9.2,-1.8,5.5,49.3
67,1959-03-09,6.4,-0.8,8.3,41.4
68,1959-03-10,3.4,-0.8,7.0,23.4
69,1959-03-11,1.5,-1.4,7.4,38.9
70,1959-03-12,2.0,-4.7,1.2,38.9
71,1959-03-13,5.3,-5.1,0.0,39.2
72,1959-03-14,15.2,2.1,3.0,56.9
73,1959-03-15,13.5,-1.3,11.8,87.1
74,1959-03-16,4.4,-3.6,0.2,53.6
75,1959-03-17,1.0,-6.5,0.2,54.7
76,1959-03-18,7.0,-7.0,0.0,33.8
77,1959-03-19,17.3,1.6,0.0,45.0
78,1959-03-20,15.9,5.5,0.0,31.0
79,1959-03-21,9.0,-5.1,0.0,54.4
80,1959-03-22,4.0,-7.8,0.0,40.0
81,1959-03-23,17.3,-2.5,0.0,38.2
82,1959-03-24,21.6,3.2,0.0,31.3
83,1959-03-25,21.9,9.7,0.0,25.2
84,1959-03-26,14.8,8.0,23.9,50.4
85,1959-03-27,12.4,1.0,2.8,52.9
86,1959-03-28,7.2,-4.2,0.0,40.0
87,1959-03-29,5.9,1.5,5.1,27.4
88,1959-03-30,12.2,3.8,0.4,33.5
89,1959-03-31,20.4,8.4,1.3,41.8
90,1959-04-01,22.4,4.4,17.7,59.0
91,1959-04-02,14.2,2.4,0.0,49.0
92,1959-04-03,13.4,6.2,6.9,70.6
93,1959-04-04,14.6,2.8,0.0,34.9
94,1959-04-05,20.0,8.3,0.2,47.2
95,1959-04-06,15.8,3.5,0.0,32.8
96,1959-04-07,25.6,8.0,0.0,49.7
97,1959-04-08,20.4,11.1,4.1,67.0
98,1959-04-09,9.6,3.5,2.4,67.0
99,1959-04-10,8.0,4.2,0.2,29.2
100,1959-04-11,8.4,2.0,0.1,33.8
101,1959-04-12,9.1,2.3,0.0,54.4
102,1959-04-13,10.1,1.7,0.1,37.1
103,1959-04-14,16.9,3.8,0.0,38.5
104,1959-04-15,20.3,3.6,0.0,43.2
105,1959-04-16,21.9,8.1,0.0,36.4
106,1959-04-17,23.9,14.3,0.8,53.3
107,1959-04-18,19.7,14.9,11.8,42.5
108,1959-04-19,14.3,6.3,15.0,41.4
109,1959-04-20,7.4,4.0,3.2,37.8
110,1959-04-21,11.9,2.7,0.0,31.7
111,1959-04-22,13.9,3.5,0.0,33.5
112,1959-04-23,18.1,2.1,0.0,25.6
113,1959-04-24,22.8,7.7,0.0,47.5
114,1959-04-25,23.9,14.4,0.3,45.0
115,1959-04-26,22.8,14.8,4.0,26.6
116,1959-04-27,18.8,15.8,9.8,41.0
117,1959-04-28,17.6,9.4,7.9,66.2
118,1959-04-29,23.0,9.0,0.6,66.6
119,1959-04-30,24.0,8.5,1.7,45.4
120,1959-05-01,22.5,8.7,0.0,28.8
121,1959-05-02,30.5,13.7,0.0,35.3
122,1959-05-03,29.9,17.3,0.0,43.6
123,1959-05-04,30.3,16.5,0.0,17.3
124,1959-05-05,32.0,19.1,0.0,20.9
125,1959-05-06,30.2,20.8,0.0,49.0
126,1959-05-07,22.6,11.0,0.0,43.2
127,1959-05-08,18.6,7.6,0.0,31.3
128,1959-05-09,23.9,10.5,0.0,39.2
129,1959-05-10,26.7,16.9,12.0,60.1
130,1959-05-11,24.3,17.5,12.2,60.1
131,1959-05-12,22.2,16.2,13.3,34.2
