,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,29.5,22.3,0.0,29.5
2,1959-01-03,29.0,23.2,0.0,33.5
3,1959-01-04,29.2,23.5,0.0,33.5
4,1959-01-05,27.9,23.3,0.0,26.3
5,1959-01-06,27.1,23.3,0.0,27.0
6,1959-01-07,26.9,21.9,0.0,32.8
7,1959-01-08,25.3,20.1,0.0,37.4
8,1959-01-09,24.7,19.0,0.0,30.2
9,1959-01-10,25.6,18.8,0.0,30.6
10,1959-01-11,26.3,20.1,0.0,33.5
11,1959-01-12,26.3,19.6,0.0,33.8
12,1959-01-13,26.3,20.0,0.0,33.8
13,1959-01-14,26.4,22.2,0.0,30.2
14,1959-01-15,26.1,22.3,0.0,31.0
15,1959-01-16,25.3,20.8,0.0,32.0
16,1959-01-17,28.9,20.1,0.0,30.6
17,1959-01-18,27.5,22.1,0.3,15.5
18,1959-01-19,26.1,22.0,0.4,51.1
19,1959-01-20,23.6,20.0,0.0,37.1
20,1959-01-21,21.8,18.8,0.4,52.9
21,1959-01-22,21.7,16.6,0.7,40.3
22,1959-01-23,24.5,15.5,0.0,42.5
23,1959-01-24,26.3,16.5,0.0,37.1
24,1959-01-25,25.0,18.3,0.0,27.0
25,1959-01-26,24.3,19.6,0.0,34.6
26,1959-01-27,26.2,17.9,0.0,33.5
27,1959-01-28,24.9,20.7,3.3,25.9
28,1959-01-29,25.1,22.5,25.8,27.4
29,1959-01-30,26.6,22.8,0.0,26.6
30,1959-01-31,24.4,21.2,0.0,39.6
31,1959-02-01,23.9,19.9,0.0,43.2
32,1959-02-02,27.4,18.9,0.0,37.8
33,1959-02-03,28.4,21.2,0.0,40.0
34,1959-02-04,27.4,21.6,0.0,39.2
35,1959-02-05,26.9,21.6,0.0,36.0
36,1959-02-06,26.0,20.8,0.1,33.5
37,1959-02-07,25.9,21.2,0.6,27.4
38,1959-02-08,25.4,20.8,0.4,42.8
39,1959-02-09,24.5,18.7,0.0,33.8
40,1959-02-10,25.8,18.5,0.0,35.6
41,1959-02-11,26.3,18.9,0.0,33.1
42,1959-02-12,25.1,20.5,0.0,33.1
43,1959-02-13,24.6,18.2,0.0,36.4
44,1959-02-14,23.8,18.7,0.0,40.7
45,1959-02-15,22.6,17.6,0.0,40.3
46,1959-02-16,21.5,16.8,0.0,37.4
47,1959-02-17,22.0,17.0,0.0,38.2
48,1959-02-18,24.0,17.1,0.0,31.0
49,1959-02-19,23.9,17.3,0.0,31.3
50,1959-02-20,23.5,18.3,0.0,43.6
51,1959-02-21,23.9,18.7,0.0,51.8
52,1959-02-22,24.4,17.3,0.0,40.7
53,1959-02-23,24.4,19.0,0.0,41.4
54,1959-02-24,23.3,18.1,0.0,35.6
55,1959-02-25,21.7,17.8,0.1,47.2
56,1959-02-26,21.6,17.2,0.0,41.0
57,1959-02-27,22.1,18.6,0.0,39.6
58,1959-02-28,22.5,17.3,0.1,54.0
59,1959-03-01,22.2,17.1,0.0,36.4
60,1959-03-02,22.6,16.5,0.0,34.6
61,1959-03-03,24.7,15.6,0.0,40.0
62,1959-03-04,26.6,16.7,0.0,43.2
63,1959-03-05,25.0,19.5,0.0,52.6
64,1959-03-06,23.4,18.0,0.0,47.2
65,1959-03-07,24.3,17.7,0.0,40.0
66,1959-03-08,25.3,17.9,0.0,31.7
67,1959-03-09,31.9,18.7,0.0,44.6
68,1959-03-10,28.3,20.7,0.0,33.5
69,1959-03-11,31.8,21.3,0.0,37.8
70,1959-03-12,32.6,23.1,0.0,51.1
71,1959-03-13,30.7,22.2,0.0,33.1
72,1959-03-14,29.7,21.5,0.0,34.9
73,1959-03-15,29.1,22.4,0.0,30.6
74,1959-03-16,31.1,23.3,0.0,42.5
75,1959-03-17,29.5,22.5,0.0,40.0
76,1959-03-18,27.5,23.0,0.0,45.4
77,1959-03-19,26.6,21.5,0.0,42.8
78,1959-03-20,26.2,20.8,0.0,34.9
79,1959-03-21,26.3,21.5,0.0,38.9
80,1959-03-22,26.8,19.7,0.0,46.8
81,1959-03-23,27.6,22.1,0.0,56.5
82,1959-03-24,26.6,20.2,0.0,45.7
83,1959-03-25,27.0,19.3,0.0,50.8
84,1959-03-26,24.7,19.6,0.0,45.4
85,1959-03-27,25.6,18.8,0.0,33.8
86,1959-03-28,26.6,19.5,0.0,36.7
87,1959-03-29,27.8,19.1,0.0,37.1
88,1959-03-30,29.7,19.8,0.0,38.9
89,1959-03-31,28.8,22.1,0.0,51.1
90,1959-04-01,28.4,22.2,0.0,37.4
91,1959-04-02,29.7,22.6,0.0,37.8
92,1959-04-03,31.5,23.0,0.0,31.0
93,1959-04-04,34.0,22.7,0.0,41.0
94,1959-04-05,31.3,24.1,0.0,51.8
95,1959-04-06,28.4,23.4,0.1,61.9
96,1959-04-07,31.7,22.3,0.0,48.2
97,1959-04-08,33.2,24.0,0.0,42.8
98,1959-04-09,30.8,25.3,0.0,32.4
99,1959-04-10,32.5,24.4,0.0,33.1
100,1959-04-11,33.8,25.8,0.0,36.7
101,1959-04-12,30.7,25.9,0.0,42.5
102,1959-04-13,29.4,24.4,0.0,50.8
103,1959-04-14,29.1,23.2,0.0,49.0
104,1959-04-15,30.5,24.1,0.0,52.6
105,1959-04-16,29.0,23.6,0.0,37.4
106,1959-04-17,29.5,23.5,0.0,48.2
107,1959-04-18,29.6,22.2,0.0,41.0
108,1959-04-19,34.7,21.5,0.0,40.3
109,1959-04-20,33.6,24.4,0.0,35.6
110,1959-04-21,34.8,25.5,0.0,40.0
111,1959-04-22,36.3,25.9,0.0,45.4
112,1959-04-23,34.6,26.3,0.0,37.4
113,1959-04-24,33.2,25.7,0.0,39.2
114,1959-04-25,32.0,25.9,0.0,48.6
115,1959-04-26,30.1,24.6,0.0,40.0
116,1959-04-27,30.4,24.3,0.0,30.6
117,1959-04-28,33.1,27.8,0.0,34.9
118,1959-04-29,32.5,27.5,0.0,41.0
119,1959-04-30,31.7,26.2,0.0,38.2
120,1959-05-01,31.3,25.8,0.0,46.1
121,1959-05-02,32.3,24.7,0.0,41.4
122,1959-05-03,32.4,25.4,0.0,34.9
123,1959-05-04,34.9,27.6,0.0,29.9
124,1959-05-05,34.4,27.7,0.0,40.7
125,1959-05-06,35.2,27.2,0.0,42.1
126,1959-05-07,34.0,27.2,0.7,28.1
127,1959-05-08,32.5,27.1,0.9,35.3
128,1959-05-09,31.0,25.0,1.4,36.7
129,1959-05-10,31.6,24.1,0.0,47.2
130,1959-05-11,31.0,23.6,0.0,41.4
131,1959-05-12,31.6,23.1,0.0,32.8
132,1959-05-13,32.8,26.3,0.0,35.3
133,1959-05-14,32.8,25.5,0.0,33.8
134,1959-05-15,34.1,26.2,0.0,34.9
135,1959-05-16,34.4,26.8,0.0,29.9
136,1959-05-17,33.8,26.6,0.0,32.0
137,1959-05-18,33.1,27.0,0.0,49.0
138,1959-05-19,32.1,25.0,0.0,46.4
139,1959-05-20,34.3,24.8,0.0,48.6
140,1959-05-21,32.0,23.7,0.0,43.9
141,1959-05-22,34.5,24.7,0.0,49.7
142,1959-05-23,35.4,25.3,0.0,48.2
143,1959-05-24,33.8,25.2,0.0,43.6
