,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,27.6,23.9,0.0,39.6
2,1959-01-03,28.2,23.8,0.6,36.4
3,1959-01-04,28.0,23.8,0.7,37.4
4,1959-01-05,27.1,24.0,1.2,38.2
5,1959-01-06,26.2,23.8,15.8,29.2
6,1959-01-07,27.0,23.5,5.0,28.4
7,1959-01-08,28.5,23.8,0.6,34.9
8,1959-01-09,29.1,23.7,0.0,36.4
9,1959-01-10,28.5,23.6,4.3,33.8
10,1959-01-11,27.8,23.7,20.1,33.5
11,1959-01-12,27.1,23.9,17.8,33.1
12,1959-01-13,26.7,23.7,9.1,45.7
13,1959-01-14,27.6,23.7,11.3,32.4
14,1959-01-15,27.4,23.4,3.0,36.7
15,1959-01-16,28.8,23.7,1.1,35.6
16,1959-01-17,27.5,23.8,4.4,34.2
17,1959-01-18,27.3,23.5,8.7,43.2
18,1959-01-19,27.1,23.7,2.9,38.2
19,1959-01-20,29.3,23.5,1.0,38.5
20,1959-01-21,27.0,23.5,1.3,33.1
21,1959-01-22,26.8,23.4,2.8,37.1
22,1959-01-23,27.8,23.7,2.7,39.2
23,1959-01-24,27.7,23.7,3.6,38.9
24,1959-01-25,28.9,23.8,0.5,41.4
25,1959-01-26,28.7,24.0,0.5,31.3
26,1959-01-27,29.5,24.2,0.4,29.9
27,1959-01-28,29.2,24.4,11.2,34.6
28,1959-01-29,27.1,24.1,13.4,32.0
29,1959-01-30,27.3,24.0,19.8,31.0
30,1959-01-31,28.2,23.9,14.8,32.0
31,1959-02-01,27.2,23.7,14.0,33.1
32,1959-02-02,28.2,23.6,6.8,25.2
33,1959-02-03,26.6,23.7,6.8,22.7
34,1959-02-04,27.3,23.8,14.2,18.4
35,1959-02-05,29.2,23.4,5.9,17.3
36,1959-02-06,28.4,24.3,3.4,24.5
37,1959-02-07,28.9,24.1,2.1,22.7
38,1959-02-08,29.5,24.5,1.2,27.4
39,1959-02-09,29.6,24.5,0.9,33.8
40,1959-02-10,29.2,24.4,0.9,39.2
41,1959-02-11,29.0,24.3,2.6,40.7
42,1959-02-12,29.0,24.3,1.4,37.8
43,1959-02-13,29.2,24.0,0.6,30.6
44,1959-02-14,30.0,23.9,1.0,25.9
45,1959-02-15,29.7,24.3,7.6,25.6
46,1959-02-16,30.1,25.0,4.9,24.8
47,1959-02-17,29.5,24.2,2.3,23.8
48,1959-02-18,29.5,24.4,0.9,22.0
49,1959-02-19,30.5,24.6,1.3,24.1
50,1959-02-20,29.3,24.3,0.0,27.7
51,1959-02-21,30.0,22.8,0.0,24.5
52,1959-02-22,29.4,24.2,1.6,27.4
53,1959-02-23,29.5,24.4,4.3,30.2
54,1959-02-24,28.6,23.8,16.1,26.6
55,1959-02-25,27.9,24.0,2.2,30.2
56,1959-02-26,29.1,23.8,1.6,28.8
57,1959-02-27,28.0,23.9,6.4,28.4
58,1959-02-28,28.6,24.0,1.2,34.9
59,1959-03-01,29.3,23.5,0.2,26.3
60,1959-03-02,28.3,23.7,2.4,33.5
61,1959-03-03,28.9,24.3,0.2,40.0
62,1959-03-04,30.1,24.4,0.0,36.0
63,1959-03-05,30.0,23.4,0.4,33.5
64,1959-03-06,29.7,23.5,1.2,32.8
65,1959-03-07,30.2,24.1,0.9,32.0
66,1959-03-08,29.9,24.6,9.4,28.8
67,1959-03-09,29.5,24.0,2.2,27.0
68,1959-03-10,28.6,23.6,1.8,19.1
69,1959-03-11,28.6,24.0,6.1,25.6
70,1959-03-12,28.4,24.5,4.1,25.9
71,1959-03-13,30.0,24.7,0.7,29.5
72,1959-03-14,30.6,24.5,0.2,28.1
73,1959-03-15,30.7,24.1,0.0,29.9
74,1959-03-16,30.0,22.3,2.5,32.0
75,1959-03-17,28.4,24.7,3.4,36.7
76,1959-03-18,28.5,24.7,4.3,33.8
77,1959-03-19,29.3,24.6,6.6,34.2
78,1959-03-20,29.0,24.5,5.9,26.3
79,1959-03-21,29.1,24.5,4.1,27.7
80,1959-03-22,29.1,24.9,3.9,25.2
81,1959-03-23,29.0,24.8,3.3,23.0
82,1959-03-24,29.7,24.4,8.2,22.3
83,1959-03-25,28.2,23.9,26.9,19.4
84,1959-03-26,27.9,24.3,9.2,24.1
85,1959-03-27,29.4,23.9,24.3,23.4
86,1959-03-28,28.6,23.0,15.0,19.8
87,1959-03-29,30.4,24.8,3.2,22.3
88,1959-03-30,28.0,24.4,3.9,19.4
89,1959-03-31,28.8,24.5,2.4,25.6
90,1959-04-01,28.9,24.0,4.2,27.4
91,1959-04-02,29.8,24.5,6.8,23.8
92,1959-04-03,29.7,24.4,7.7,22.0
93,1959-04-04,28.5,24.3,3.8,17.3
94,1959-04-05,29.4,24.2,11.2,20.2
95,1959-04-06,29.9,24.3,4.8,20.5
96,1959-04-07,27.9,24.5,5.6,25.6
97,1959-04-08,29.6,24.1,5.3,19.8
98,1959-04-09,28.9,24.9,5.8,19.4
99,1959-04-10,29.9,24.6,2.7,20.9
100,1959-04-11,29.7,25.0,6.8,20.2
101,1959-04-12,30.1,24.6,10.9,19.8
102,1959-04-13,29.4,24.2,8.2,21.6
103,1959-04-14,30.2,25.0,10.5,19.4
104,1959-04-15,29.0,25.0,7.4,22.3
105,1959-04-16,29.2,25.4,14.3,21.2
106,1959-04-17,28.3,24.6,12.7,17.3
107,1959-04-18,29.6,24.6,1.6,17.3
108,1959-04-19,29.3,24.3,6.3,20.9
109,1959-04-20,30.4,24.4,2.3,19.1
110,1959-04-21,29.4,25.1,7.0,21.2
111,1959-04-22,29.6,25.2,16.0,19.8
112,1959-04-23,30.1,24.5,6.4,22.3
113,1959-04-24,30.0,25.0,5.1,25.2
114,1959-04-25,29.6,25.2,4.1,23.0
115,1959-04-26,30.6,25.6,1.7,26.6
116,1959-04-27,28.7,24.6,4.8,23.8
117,1959-04-28,29.5,25.2,5.4,25.2
118,1959-04-29,28.6,24.8,8.6,20.5
119,1959-04-30,30.0,24.4,6.5,21.2
120,1959-05-01,29.0,24.2,5.5,21.2
121,1959-05-02,29.1,24.9,5.6,21.6
122,1959-05-03,29.6,24.6,10.3,20.2
123,1959-05-04,28.8,24.6,7.0,20.9
124,1959-05-05,29.3,25.0,4.9,19.1
125,1959-05-06,29.0,25.2,8.2,17.3
126,1959-05-07,28.1,25.0,8.3,22.3
127,1959-05-08,29.5,25.0,7.8,24.1
128,1959-05-09,28.9,25.2,7.9,15.8
129,1959-05-10,29.5,24.7,4.4,22.0
130,1959-05-11,29.2,24.5,12.6,19.4
131,1959-05-12,29.3,24.8,4.3,19.8
132,1959-05-13,28.1,24.6,7.0,24.1
133,1959-05-14,29.1,24.8,13.3,24.1
134,1959-05-15,30.1,25.1,4.2,23.0
135,1959-05-16,31.0,25.2,6.9,21.2
136,1959-05-17,29.6,25.0,14.0,22.0
137,1959-05-18,28.3,25.0,18.4,27.0
138,1959-05-19,28.4,24.8,17.9,25.9
139,1959-05-20,30.3,25.3,8.1,22.0
140,1959-05-21,30.4,26.1,2.0,19.1
141,1959-05-22,29.2,25.7,11.6,18.4
142,1959-05-23,30.6,25.5,1.2,23.8
143,1959-05-24,30.1,25.5,5.0,28.8
144,1959-05-25,29.4,25.2,5.0,23.4
145,1959-05-26,31.0,25.7,5.5,21.6
146,1959-05-27,29.2,25.7,8.6,18.7
147,1959-05-28,29.6,25.6,5.7,20.2
148,1959-05-29,29.4,25.4,12.9,19.1
149,1959-05-30,30.3,25.5,9.3,18.4
150,1959-05-31,30.0,26.2,1.8,21.2
151,1959-06-01,30.1,26.0,4.3,21.6
152,1959-06-02,29.6,25.2,5.7,22.7
153,1959-06-03,29.9,25.2,6.2,28.1
154,1959-06-04,30.2,26.1,2.1,24.1
155,1959-06-05,30.0,25.6,2.0,24.1
156,1959-06-06,30.4,25.6,0.7,20.9
157,1959-06-07,30.4,25.6,1.8,25.9
158,1959-06-08,31.2,25.2,1.0,18.0
159,1959-06-09,29.0,25.8,2.5,22.3
160,1959-06-10,29.8,24.4,8.7,22.3
161,1959-06-11,28.4,25.0,10.1,24.8
162,1959-06-12,28.6,24.9,10.3,29.2
163,1959-06-13,28.5,25.0,6.1,29.5
164,1959-06-14,28.3,24.9,9.8,28.1
165,1959-06-15,29.0,24.4,16.2,28.8
166,1959-06-16,27.4,24.7,19.3,22.3
167,1959-06-17,28.7,24.5,18.9,21.2
168,1959-06-18,26.9,24.7,12.5,32.0
169,1959-06-19,28.3,24.3,8.4,29.2
170,1959-06-20,28.8,25.6,9.1,29.2
171,1959-06-21,28.2,25.2,10.3,30.2
172,1959-06-22,29.5,25.0,7.7,29.2
173,1959-06-23,27.8,23.9,18.3,29.9
174,1959-06-24,27.1,24.2,16.2,25.6
175,1959-06-25,29.6,25.8,12.6,31.7
176,1959-06-26,29.1,24.6,8.5,30.6
177,1959-06-27,28.7,24.3,5.3,36.7
178,1959-06-28,28.9,24.4,4.3,34.9
179,1959-06-29,29.7,25.5,0.1,28.8
180,1959-06-30,29.9,25.7,2.1,27.7
181,1959-07-01,29.4,24.8,2.2,24.1
182,1959-07-02,29.9,24.9,3.1,33.8
183,1959-07-03,30.2,25.5,0.3,32.0
184,1959-07-04,30.6,25.1,0.9,26.3
185,1959-07-05,30.7,25.5,0.2,21.2
186,1959-07-06,29.9,24.7,2.3,23.0
187,1959-07-07,29.5,25.9,1.4,29.9
188,1959-07-08,29.6,25.2,0.4,37.4
189,1959-07-09,28.9,25.0,3.4,29.2
190,1959-07-10,29.1,25.5,0.8,27.4
191,1959-07-11,28.9,24.4,2.1,31.7
192,1959-07-12,29.3,25.8,1.5,36.4
193,1959-07-13,28.7,25.5,1.4,33.8
194,1959-07-14,29.0,24.8,3.6,30.6
195,1959-07-15,28.3,25.0,1.5,33.1
196,1959-07-16,29.2,24.3,4.4,36.4
197,1959-07-17,28.2,25.4,4.5,35.3
198,1959-07-18,26.7,24.6,10.3,23.8
199,1959-07-19,28.7,23.7,9.4,22.7
200,1959-07-20,28.2,24.6,3.2,25.6
201,1959-07-21,28.1,24.8,4.3,29.5
202,1959-07-22,29.1,24.3,9.4,32.4
203,1959-07-23,28.5,24.8,7.0,32.0
204,1959-07-24,28.5,24.9,4.9,27.7
205,1959-07-25,28.2,24.6,9.7,29.9
206,1959-07-26,28.6,24.9,4.7,37.1
207,1959-07-27,29.4,24.5,2.4,32.0
208,1959-07-28,29.9,24.5,0.6,26.6
209,1959-07-29,29.9,24.5,1.7,32.4
210,1959-07-30,29.5,25.0,0.4,32.4
211,1959-07-31,27.6,24.0,5.3,32.0
212,1959-08-01,28.2,24.9,2.4,39.6
213,1959-08-02,28.9,24.9,0.8,37.4
214,1959-08-03,29.1,24.9,0.0,40.0
215,1959-08-04,29.1,25.1,0.0,40.7
216,1959-08-05,28.9,25.1,0.6,41.0
217,1959-08-06,27.2,24.2,2.5,34.9
218,1959-08-07,28.8,25.1,5.3,35.6
219,1959-08-08,28.7,25.3,1.1,30.6
220,1959-08-09,29.8,25.1,2.5,32.0
221,1959-08-10,29.2,24.7,1.0,28.4
222,1959-08-11,27.7,24.9,1.5,28.4
223,1959-08-12,29.4,24.5,2.3,24.8
224,1959-08-13,29.4,24.5,2.6,23.0
225,1959-08-14,28.1,24.1,2.4,31.0
226,1959-08-15,28.9,25.1,1.2,29.5
227,1959-08-16,27.6,24.5,8.2,32.0
228,1959-08-17,29.0,24.3,7.3,32.4
229,1959-08-18,28.4,24.0,6.0,33.5
230,1959-08-19,28.9,23.7,6.7,36.7
231,1959-08-20,29.4,24.7,2.3,40.3
232,1959-08-21,28.7,25.7,1.1,38.9
233,1959-08-22,29.1,25.9,1.4,37.8
234,1959-08-23,27.9,25.1,4.5,29.2
235,1959-08-24,29.0,23.7,4.7,33.1
236,1959-08-25,28.1,25.4,8.5,34.9
237,1959-08-26,28.3,24.6,1.4,35.3
238,1959-08-27,29.1,24.4,0.7,32.0
239,1959-08-28,28.7,25.3,0.7,38.2
240,1959-08-29,28.7,25.5,1.7,31.3
241,1959-08-30,27.8,24.2,8.1,32.0
242,1959-08-31,28.3,24.8,3.3,30.2
243,1959-09-01,29.3,23.9,6.5,34.6
244,1959-09-02,29.1,25.0,1.1,34.9
245,1959-09-03,29.1,25.4,1.4,38.2
246,1959-09-04,29.8,25.3,2.7,41.8
247,1959-09-05,29.7,24.2,4.9,27.7
248,1959-09-06,28.4,23.9,2.2,28.4
249,1959-09-07,29.6,24.8,2.4,25.9
250,1959-09-08,28.8,24.9,2.9,25.9
251,1959-09-09,28.0,24.6,4.1,27.7
