,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,1.5,-0.8,1.6,38.5
2,1959-01-03,1.2,-3.6,0.4,36.4
3,1959-01-04,-0.3,-4.5,1.9,36.7
4,1959-01-05,2.2,-0.3,0.7,65.5
5,1959-01-06,-0.5,-6.3,0.6,27.0
6,1959-01-07,-6.2,-7.5,0.3,29.5
7,1959-01-08,-3.6,-6.6,0.0,43.6
8,1959-01-09,-2.4,-7.4,0.0,43.9
9,1959-01-10,-0.4,-6.3,0.1,46.8
10,1959-01-11,-0.1,-5.4,5.2,52.9
11,1959-01-12,-4.1,-9.5,2.9,47.5
12,1959-01-13,-4.7,-6.8,1.0,45.7
13,1959-01-14,-2.2,-7.5,5.4,56.5
14,1959-01-15,-6.0,-8.6,0.9,40.7
15,1959-01-16,-7.0,-9.5,3.0,29.5
16,1959-01-17,-9.5,-13.1,0.6,41.4
17,1959-01-18,-9.5,-15.5,0.0,37.8
18,1959-01-19,-6.0,-14.4,2.3,46.4
19,1959-01-20,-2.8,-19.6,7.9,42.1
20,1959-01-21,-0.3,-5.6,4.0,38.2
21,1959-01-22,2.2,-2.3,1.0,44.3
22,1959-01-23,2.1,0.6,1.5,40.0
23,1959-01-24,2.0,-0.6,3.7,45.4
24,1959-01-25,0.4,-7.8,3.9,39.2
25,1959-01-26,-5.1,-10.2,0.1,31.0
26,1959-01-27,-5.4,-10.8,0.5,43.6
27,1959-01-28,-5.1,-7.9,0.1,30.6
28,1959-01-29,-0.7,-6.3,3.0,38.2
29,1959-01-30,-1.6,-4.1,0.0,33.5
30,1959-01-31,-4.0,-5.5,0.0,23.8
31,1959-02-01,-3.9,-6.7,2.2,23.4
32,1959-02-02,-3.7,-8.9,2.9,29.5
33,1959-02-03,-3.5,-11.3,1.4,44.3
34,1959-02-04,-2.7,-9.9,0.3,51.1
35,1959-02-05,0.9,-3.8,2.0,55.8
36,1959-02-06,-3.8,-10.7,1.1,47.2
37,1959-02-07,-4.1,-15.3,0.1,38.2
38,1959-02-08,-3.6,-5.4,0.2,42.1
39,1959-02-09,-4.1,-9.0,0.0,38.2
40,1959-02-10,-3.1,-6.0,0.4,47.2
41,1959-02-11,-6.1,-13.3,0.0,45.7
42,1959-02-12,-8.7,-15.2,0.0,26.3
43,1959-02-13,-4.8,-9.9,0.1,39.2
44,1959-02-14,-4.9,-6.3,0.0,37.4
45,1959-02-15,-6.4,-8.5,0.0,20.9
46,1959-02-16,-6.9,-9.5,0.6,21.6
47,1959-02-17,-5.7,-10.2,1.3,28.4
48,1959-02-18,-3.4,-6.4,2.7,47.5
49,1959-02-19,-5.7,-8.9,1.6,33.5
50,1959-02-20,-1.0,-7.1,2.3,38.9
51,1959-02-21,-0.0,-3.6,3.6,56.2
52,1959-02-22,-4.2,-8.1,0.0,33.8
53,1959-02-23,-6.1,-13.5,0.6,27.0
54,1959-02-24,-6.8,-13.7,0.4,42.1
55,1959-02-25,-4.4,-8.9,2.3,44.3
56,1959-02-26,-2.0,-8.5,2.9,45.7
57,1959-02-27,2.3,-1.7,2.9,43.6
58,1959-02-28,1.3,-1.0,2.0,37.4
59,1959-03-01,1.8,-1.3,0.0,24.1
60,1959-03-02,2.4,-2.3,1.9,47.5
61,1959-03-03,3.3,-7.1,0.0,19.4
62,1959-03-04,5.3,-4.3,0.0,24.5
63,1959-03-05,2.0,-3.9,0.0,27.7
64,1959-03-06,-3.9,-7.7,0.0,39.6
65,1959-03-07,-4.0,-7.9,0.0,55.4
66,1959-03-08,-5.0,-8.9,1.2,52.6
67,1959-03-09,-1.2,-6.7,14.6,42.8
68,1959-03-10,-2.7,-4.9,3.3,36.4
69,1959-03-11,-2.6,-6.5,0.0,24.5
70,1959-03-12,0.6,-12.0,0.0,17.3
71,1959-03-13,-1.4,-12.3,0.0,13.0
72,1959-03-14,-0.1,-8.3,0.0,15.8
73,1959-03-15,2.4,-10.5,0.0,16.9
74,1959-03-16,2.9,-11.4,0.0,16.2
75,1959-03-17,2.7,-11.1,0.0,21.2
76,1959-03-18,3.1,-8.7,0.0,34.2
77,1959-03-19,4.6,-4.8,0.0,37.8
78,1959-03-20,-0.7,-10.7,0.0,38.2
79,1959-03-21,3.5,-11.4,0.0,45.0
80,1959-03-22,3.3,-1.9,0.0,56.2
81,1959-03-23,3.8,-3.3,0.0,30.6
82,1959-03-24,5.1,-3.3,0.2,31.0
83,1959-03-25,5.0,-0.6,0.1,27.7
84,1959-03-26,5.0,-0.4,0.0,25.9
85,1959-03-27,7.4,-4.9,0.0,29.9
86,1959-03-28,2.9,-0.3,1.2,32.0
87,1959-03-29,1.3,-0.6,1.5,32.4
88,1959-03-30,-1.0,-4.5,2.1,36.4
89,1959-03-31,-0.3,-4.2,0.8,41.0
90,1959-04-01,2.4,-7.8,0.0,28.1
91,1959-04-02,4.3,-4.8,0.0,26.3
92,1959-04-03,2.5,-0.2,4.2,20.2
93,1959-04-04,5.0,-0.8,0.8,28.1
94,1959-04-05,5.1,-2.8,0.0,20.9
95,1959-04-06,2.3,-5.9,0.0,19.1
96,1959-04-07,3.4,-7.5,0.0,27.4
97,1959-04-08,3.4,-2.3,4.9,57.2
98,1959-04-09,7.1,1.4,1.9,58.7
99,1959-04-10,11.3,1.5,0.0,27.0
100,1959-04-11,14.9,5.7,0.2,31.7
101,1959-04-12,16.1,5.5,0.0,39.2
102,1959-04-13,9.8,0.8,0.1,32.4
103,1959-04-14,10.5,0.9,0.0,27.7
104,1959-04-15,13.6,0.8,0.0,23.4
105,1959-04-16,16.5,2.7,0.0,23.8
106,1959-04-17,17.1,3.6,0.0,32.0
107,1959-04-18,18.5,4.3,0.0,15.8
108,1959-04-19,17.7,7.7,0.9,46.4
