,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,28.5,23.9,30.0,19.4
2,1959-01-03,28.2,23.7,84.2,13.0
3,1959-01-04,29.1,23.1,3.9,16.6
4,1959-01-05,29.8,22.7,0.7,19.1
5,1959-01-06,29.0,23.1,2.5,18.7
6,1959-01-07,29.2,23.4,2.6,21.6
7,1959-01-08,29.0,22.6,3.4,18.7
8,1959-01-09,29.6,22.7,0.8,15.8
9,1959-01-10,28.8,22.5,2.4,25.2
10,1959-01-11,28.9,22.9,11.0,27.0
11,1959-01-12,27.3,23.6,9.3,43.6
12,1959-01-13,28.8,23.2,1.1,37.1
13,1959-01-14,29.3,23.2,1.9,38.2
14,1959-01-15,28.6,22.7,2.6,27.0
15,1959-01-16,29.4,22.4,0.7,33.1
16,1959-01-17,29.5,22.6,2.0,37.1
17,1959-01-18,30.1,23.2,0.5,43.6
18,1959-01-19,29.9,22.2,0.1,20.9
19,1959-01-20,30.5,21.8,2.0,29.5
20,1959-01-21,29.6,22.3,3.4,24.1
21,1959-01-22,29.1,22.8,0.4,41.0
22,1959-01-23,29.8,22.9,0.1,41.4
23,1959-01-24,29.3,22.3,0.3,32.8
24,1959-01-25,31.2,22.6,0.0,33.5
25,1959-01-26,30.1,21.9,0.0,24.5
26,1959-01-27,29.9,22.4,0.2,22.3
27,1959-01-28,30.6,23.0,1.3,28.4
28,1959-01-29,30.6,23.5,1.8,36.4
29,1959-01-30,30.9,23.9,7.8,29.5
30,1959-01-31,30.2,23.3,14.9,27.7
31,1959-02-01,29.9,23.4,27.6,29.2
32,1959-02-02,29.7,23.1,4.1,23.4
33,1959-02-03,26.8,22.9,18.0,24.5
34,1959-02-04,26.9,23.2,16.9,24.1
35,1959-02-05,29.7,22.6,9.6,20.5
36,1959-02-06,29.2,23.4,9.5,19.1
37,1959-02-07,29.0,23.4,2.9,22.3
38,1959-02-08,30.5,24.4,1.7,23.0
39,1959-02-09,31.1,23.1,0.0,24.1
40,1959-02-10,30.8,22.8,0.1,24.5
41,1959-02-11,30.4,22.4,1.2,24.1
42,1959-02-12,30.7,23.4,0.3,22.7
43,1959-02-13,30.2,22.7,1.3,20.5
44,1959-02-14,31.6,23.3,0.6,21.2
45,1959-02-15,30.5,23.6,0.4,16.9
46,1959-02-16,31.1,24.2,4.3,22.3
47,1959-02-17,30.8,23.8,3.7,22.7
48,1959-02-18,30.9,24.4,0.3,22.7
49,1959-02-19,31.8,23.8,1.1,23.4
50,1959-02-20,31.2,23.7,0.2,21.6
51,1959-02-21,31.4,23.5,0.0,24.5
52,1959-02-22,30.9,23.0,0.2,26.6
53,1959-02-23,31.7,22.8,0.4,21.6
54,1959-02-24,29.9,23.4,6.8,23.4
55,1959-02-25,29.9,23.0,0.1,24.5
56,1959-02-26,31.8,22.7,0.0,27.4
57,1959-02-27,31.2,24.1,3.0,29.9
58,1959-02-28,30.1,23.3,11.6,27.7
59,1959-03-01,30.9,22.8,0.1,25.9
60,1959-03-02,29.9,22.7,0.4,25.9
61,1959-03-03,30.8,23.4,2.3,23.0
62,1959-03-04,30.9,23.3,0.4,22.0
63,1959-03-05,32.0,23.4,0.1,27.4
64,1959-03-06,30.3,22.6,0.4,28.8
65,1959-03-07,29.5,23.4,5.8,25.2
66,1959-03-08,29.3,23.1,7.1,27.4
67,1959-03-09,29.1,23.7,12.2,23.8
68,1959-03-10,29.0,23.0,7.4,20.5
69,1959-03-11,30.6,23.2,5.6,22.7
70,1959-03-12,30.0,23.9,7.0,22.3
71,1959-03-13,30.4,24.0,4.5,20.9
72,1959-03-14,29.6,23.7,1.3,24.5
73,1959-03-15,30.4,22.9,0.3,24.8
74,1959-03-16,30.8,22.4,0.2,28.4
75,1959-03-17,31.9,23.1,0.0,26.3
76,1959-03-18,31.7,24.2,0.0,24.8
77,1959-03-19,32.1,23.7,0.0,24.5
78,1959-03-20,30.6,24.7,15.8,27.0
79,1959-03-21,30.1,24.4,9.6,26.3
80,1959-03-22,31.4,24.1,5.3,24.1
81,1959-03-23,30.5,24.3,5.7,25.6
82,1959-03-24,30.2,23.3,23.5,25.6
83,1959-03-25,28.5,23.4,19.5,24.1
84,1959-03-26,29.3,23.7,3.3,15.1
85,1959-03-27,29.4,23.5,24.3,21.2
86,1959-03-28,29.6,22.2,6.4,22.7
87,1959-03-29,31.1,24.0,5.6,18.7
88,1959-03-30,28.7,23.0,16.2,25.2
89,1959-03-31,29.1,23.2,2.7,24.5
90,1959-04-01,29.7,23.0,6.9,22.7
91,1959-04-02,30.1,23.3,10.4,23.8
92,1959-04-03,30.9,23.2,5.5,19.1
93,1959-04-04,29.0,23.5,6.8,23.4
94,1959-04-05,29.2,23.6,33.6,27.0
95,1959-04-06,30.1,23.0,12.5,22.3
96,1959-04-07,29.2,23.8,9.7,23.8
97,1959-04-08,29.2,23.3,3.8,20.5
98,1959-04-09,29.2,23.7,4.0,22.3
99,1959-04-10,30.2,23.6,2.5,21.2
100,1959-04-11,30.1,24.0,6.3,21.2
101,1959-04-12,28.5,23.6,13.4,26.3
102,1959-04-13,30.3,23.3,18.4,20.5
103,1959-04-14,29.7,23.8,13.3,25.9
104,1959-04-15,31.3,23.8,3.6,21.2
105,1959-04-16,31.3,24.4,6.3,23.0
106,1959-04-17,29.5,22.9,10.3,22.0
107,1959-04-18,31.0,23.7,4.5,21.6
108,1959-04-19,29.5,23.7,9.0,24.8
109,1959-04-20,30.4,23.5,5.2,21.2
110,1959-04-21,29.6,23.9,8.0,22.7
111,1959-04-22,30.1,23.9,4.0,28.1
112,1959-04-23,30.6,24.4,3.8,22.3
113,1959-04-24,29.5,24.2,8.1,21.6
114,1959-04-25,29.8,24.3,2.6,22.3
115,1959-04-26,30.6,23.8,6.2,24.5
116,1959-04-27,29.5,24.0,3.9,20.5
117,1959-04-28,31.2,24.2,4.4,22.7
118,1959-04-29,29.3,23.8,13.9,23.0
119,1959-04-30,30.5,23.8,6.3,27.7
120,1959-05-01,31.0,23.6,1.6,21.2
121,1959-05-02,30.1,24.1,2.4,25.2
122,1959-05-03,29.9,23.6,8.7,21.6
123,1959-05-04,29.8,24.2,5.7,18.0
124,1959-05-05,29.3,24.3,9.2,22.3
125,1959-05-06,28.8,24.1,12.0,19.8
126,1959-05-07,29.0,23.9,6.5,20.9
127,1959-05-08,29.9,23.9,1.9,20.5
128,1959-05-09,29.4,24.0,18.1,19.1
129,1959-05-10,31.0,24.1,13.3,23.8
130,1959-05-11,29.8,24.2,15.4,25.6
131,1959-05-12,28.8,24.0,16.7,14.0
132,1959-05-13,29.8,24.0,5.9,25.2
133,1959-05-14,29.9,24.1,11.1,21.2
134,1959-05-15,30.9,23.9,5.7,20.9
135,1959-05-16,30.4,24.6,8.3,21.6
136,1959-05-17,29.1,24.3,16.5,32.8
137,1959-05-18,28.0,24.5,7.6,26.3
138,1959-05-19,29.3,24.2,14.6,23.4
139,1959-05-20,30.1,24.2,16.9,24.5
140,1959-05-21,31.2,24.0,0.7,24.1
141,1959-05-22,29.2,24.1,16.7,25.6
142,1959-05-23,31.0,24.8,1.0,27.4
