,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,7.8,1.8,0.0,24.1
2,1959-01-03,6.1,3.0,1.3,34.6
3,1959-01-04,2.8,-4.7,0.0,51.1
4,1959-01-05,-2.1,-7.2,0.0,37.1
5,1959-01-06,1.1,-7.4,0.0,22.3
6,1959-01-07,3.0,-2.9,0.6,22.7
7,1959-01-08,5.0,1.9,8.8,23.4
8,1959-01-09,3.6,1.1,2.0,39.6
9,1959-01-10,0.8,-3.1,0.0,51.1
10,1959-01-11,3.0,-4.3,0.0,46.8
11,1959-01-12,7.8,-2.2,0.0,45.0
12,1959-01-13,4.7,-1.7,0.0,32.8
13,1959-01-14,7.8,-4.4,0.0,37.4
14,1959-01-15,6.1,-0.5,0.0,50.4
15,1959-01-16,2.0,-4.8,0.0,71.3
16,1959-01-17,-0.1,-7.1,0.0,40.0
17,1959-01-18,2.7,-6.8,0.0,26.3
18,1959-01-19,4.9,-5.9,0.0,16.6
19,1959-01-20,7.8,-5.7,0.0,24.5
20,1959-01-21,6.7,-0.5,0.0,50.4
21,1959-01-22,5.9,-3.6,0.0,41.0
22,1959-01-23,11.3,-4.9,0.0,27.4
23,1959-01-24,16.4,1.4,0.0,25.9
24,1959-01-25,13.9,4.8,0.0,34.2
25,1959-01-26,13.0,6.6,1.8,23.8
26,1959-01-27,13.1,6.6,0.0,32.8
27,1959-01-28,12.9,6.7,17.1,37.4
28,1959-01-29,9.4,4.7,7.2,38.9
29,1959-01-30,4.8,-0.6,0.2,36.4
30,1959-01-31,6.0,-0.2,0.0,32.8
31,1959-02-01,7.7,5.3,7.8,34.2
32,1959-02-02,5.4,3.3,6.7,27.0
33,1959-02-03,7.6,3.8,3.4,16.6
34,1959-02-04,13.8,6.5,0.0,23.8
35,1959-02-05,12.8,6.2,9.9,31.7
36,1959-02-06,10.8,5.6,9.7,50.4
37,1959-02-07,5.5,3.3,6.0,40.7
38,1959-02-08,5.0,2.9,1.2,30.6
39,1959-02-09,8.5,2.0,0.0,39.2
40,1959-02-10,5.8,-0.4,0.0,26.3
41,1959-02-11,7.3,0.4,0.0,33.5
42,1959-02-12,10.4,2.5,7.8,48.6
43,1959-02-13,15.2,10.6,16.4,44.3
44,1959-02-14,10.1,5.7,0.1,29.5
45,1959-02-15,6.4,5.0,5.4,29.2
46,1959-02-16,6.0,4.5,17.1,34.9
47,1959-02-17,5.6,3.9,2.6,31.7
48,1959-02-18,7.8,3.4,0.3,28.8
49,1959-02-19,4.8,3.5,13.5,34.2
50,1959-02-20,4.3,1.3,8.1,29.2
51,1959-02-21,7.5,1.6,0.0,32.4
52,1959-02-22,8.7,2.0,0.0,31.0
53,1959-02-23,6.9,4.1,2.0,34.9
54,1959-02-24,7.1,2.3,0.1,34.2
55,1959-02-25,9.8,3.0,0.0,25.6
56,1959-02-26,7.1,2.4,0.0,43.6
57,1959-02-27,8.4,2.5,0.0,31.7
58,1959-02-28,9.0,5.6,0.5,36.0
59,1959-03-01,10.7,4.1,0.0,25.6
60,1959-03-02,13.7,3.3,0.0,42.1
61,1959-03-03,11.6,2.0,0.0,36.0
62,1959-03-04,18.0,5.7,0.0,38.5
63,1959-03-05,22.1,12.5,0.2,40.3
64,1959-03-06,25.4,9.8,8.3,44.6
65,1959-03-07,9.5,6.8,18.2,32.4
66,1959-03-08,12.2,6.4,2.5,32.8
67,1959-03-09,11.6,7.3,0.0,27.0
68,1959-03-10,13.2,6.2,0.0,43.9
69,1959-03-11,12.9,3.3,0.0,29.9
70,1959-03-12,10.2,2.6,0.0,36.7
71,1959-03-13,8.3,3.8,0.0,39.6
72,1959-03-14,9.0,5.9,1.0,37.1
73,1959-03-15,9.6,6.6,4.8,35.3
74,1959-03-16,11.3,5.5,0.8,34.6
75,1959-03-17,14.3,3.0,0.0,30.6
76,1959-03-18,14.4,3.1,0.0,34.6
77,1959-03-19,14.8,7.2,0.0,54.0
78,1959-03-20,19.5,11.4,2.8,34.2
79,1959-03-21,20.4,11.2,0.3,22.7
80,1959-03-22,16.8,10.8,0.7,25.2
81,1959-03-23,11.9,8.4,23.7,35.3
82,1959-03-24,13.7,6.7,20.1,36.7
83,1959-03-25,19.2,6.5,0.0,35.6
84,1959-03-26,17.0,7.8,0.0,36.4
85,1959-03-27,15.6,7.8,0.0,51.8
86,1959-03-28,22.2,11.7,0.0,45.7
87,1959-03-29,25.1,11.0,8.2,42.8
