,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,5.3,1.6,1.2,53.6
2,1959-01-03,3.0,-0.4,1.2,34.6
3,1959-01-04,2.7,-1.7,1.0,43.2
4,1959-01-05,2.0,-1.7,4.1,32.0
5,1959-01-06,3.0,0.7,13.0,39.6
6,1959-01-07,2.4,-2.0,10.2,38.5
7,1959-01-08,-0.3,-2.7,0.0,41.8
8,1959-01-09,0.7,-3.7,0.2,46.8
9,1959-01-10,-1.6,-5.9,0.0,31.3
10,1959-01-11,-1.0,-5.4,0.1,40.3
11,1959-01-12,1.7,-2.1,1.1,55.4
12,1959-01-13,0.3,-6.3,0.0,20.2
13,1959-01-14,-3.4,-6.5,0.0,21.6
14,1959-01-15,-2.3,-3.9,0.0,24.1
15,1959-01-16,-0.7,-5.6,0.0,23.0
16,1959-01-17,5.4,-5.8,2.3,56.9
17,1959-01-18,8.3,5.4,8.4,62.3
18,1959-01-19,8.5,5.4,4.0,62.3
19,1959-01-20,8.2,4.8,2.2,69.5
20,1959-01-21,8.1,4.2,5.8,73.8
21,1959-01-22,9.1,1.7,4.7,73.8
22,1959-01-23,3.5,-1.6,1.9,43.2
23,1959-01-24,3.0,-2.8,0.0,36.7
24,1959-01-25,2.2,-4.7,0.0,15.1
25,1959-01-26,1.9,-4.5,0.0,34.9
26,1959-01-27,4.4,-2.1,0.0,32.0
27,1959-01-28,5.3,-2.9,0.0,16.9
28,1959-01-29,0.7,-3.5,0.1,14.0
29,1959-01-30,4.1,-1.4,0.0,34.6
30,1959-01-31,4.8,0.5,0.0,40.7
31,1959-02-01,3.9,-0.7,0.0,35.6
32,1959-02-02,3.1,-1.2,0.0,42.1
33,1959-02-03,3.0,-0.6,0.0,45.0
34,1959-02-04,3.9,-0.2,0.0,52.9
35,1959-02-05,2.9,-2.1,0.0,22.7
36,1959-02-06,1.7,-1.6,0.0,16.2
37,1959-02-07,1.0,-1.7,0.0,23.8
38,1959-02-08,-0.3,-1.7,0.0,21.6
39,1959-02-09,1.5,-2.8,0.0,20.9
40,1959-02-10,3.3,0.5,1.3,18.4
41,1959-02-11,1.1,-0.2,0.0,24.1
42,1959-02-12,2.1,-0.3,0.0,16.2
43,1959-02-13,4.1,-0.3,0.0,19.8
44,1959-02-14,4.9,-0.3,0.2,34.9
45,1959-02-15,6.9,2.7,0.5,23.4
46,1959-02-16,6.2,1.6,0.0,25.6
47,1959-02-17,4.4,-1.7,0.0,17.3
48,1959-02-18,8.1,-1.0,0.0,20.5
49,1959-02-19,8.6,-1.8,0.0,18.7
50,1959-02-20,9.3,1.1,0.0,54.4
51,1959-02-21,8.6,2.4,0.0,42.5
52,1959-02-22,10.6,2.9,0.0,37.4
53,1959-02-23,7.5,3.0,0.0,45.0
54,1959-02-24,9.1,3.8,1.4,28.4
55,1959-02-25,10.1,6.0,0.0,44.6
56,1959-02-26,11.2,4.4,0.0,49.7
57,1959-02-27,13.7,3.8,0.0,43.6
58,1959-02-28,14.9,6.2,0.0,36.0
59,1959-03-01,13.7,2.9,0.0,22.0
