,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,10.4,-3.4,0.0,24.5
2,1959-01-03,12.6,2.6,0.0,21.6
3,1959-01-04,14.7,7.2,0.0,29.5
4,1959-01-05,15.4,9.3,0.0,37.8
5,1959-01-06,16.6,9.5,6.6,40.7
6,1959-01-07,14.8,8.4,2.3,35.3
7,1959-01-08,10.6,7.9,7.1,39.6
8,1959-01-09,12.6,7.2,3.7,42.1
9,1959-01-10,14.9,7.6,0.0,29.5
10,1959-01-11,14.8,8.7,0.0,29.2
11,1959-01-12,11.9,1.4,10.1,38.9
12,1959-01-13,12.1,1.5,0.0,49.0
13,1959-01-14,13.9,8.0,17.5,60.1
14,1959-01-15,8.0,6.4,12.5,32.4
15,1959-01-16,10.1,6.1,7.3,45.4
16,1959-01-17,14.7,7.1,0.0,45.0
17,1959-01-18,14.9,5.4,19.5,51.5
18,1959-01-19,5.8,3.2,14.2,28.8
19,1959-01-20,6.8,3.0,1.5,15.5
20,1959-01-21,7.6,3.5,0.2,15.1
21,1959-01-22,9.0,1.1,0.0,20.5
22,1959-01-23,7.9,-0.5,0.0,20.5
23,1959-01-24,10.0,3.4,0.0,23.8
24,1959-01-25,11.2,5.7,0.0,34.6
25,1959-01-26,14.7,7.3,1.7,56.2
26,1959-01-27,14.5,10.4,0.3,45.7
27,1959-01-28,12.7,7.6,2.0,25.9
28,1959-01-29,14.0,8.8,0.0,26.6
29,1959-01-30,11.9,8.8,4.2,25.2
30,1959-01-31,9.8,6.9,10.5,25.6
31,1959-02-01,7.4,4.8,9.6,24.5
32,1959-02-02,7.0,1.1,0.0,24.1
33,1959-02-03,5.8,-1.3,17.8,62.3
34,1959-02-04,0.9,-3.0,4.6,27.4
35,1959-02-05,0.4,-6.3,14.0,33.8
36,1959-02-06,2.1,-4.0,19.8,32.8
37,1959-02-07,1.1,-10.1,0.0,20.9
38,1959-02-08,1.2,-8.9,0.2,13.7
39,1959-02-09,1.6,-3.9,4.9,38.2
40,1959-02-10,4.1,-5.0,0.7,38.5
41,1959-02-11,1.3,-3.1,0.6,35.6
42,1959-02-12,-2.5,-6.7,0.0,69.5
43,1959-02-13,3.8,-9.2,0.0,44.6
44,1959-02-14,3.7,0.3,0.0,16.9
45,1959-02-15,4.5,-1.6,0.0,32.4
46,1959-02-16,5.1,-5.0,3.1,25.6
47,1959-02-17,3.0,-1.5,0.2,28.4
48,1959-02-18,1.2,-0.9,12.2,47.5
49,1959-02-19,1.2,-2.1,12.5,36.0
50,1959-02-20,1.1,-5.0,0.4,18.7
51,1959-02-21,4.8,-1.1,5.6,66.2
52,1959-02-22,4.7,1.7,79.6,72.7
53,1959-02-23,3.1,0.4,15.6,31.7
54,1959-02-24,2.9,-4.7,0.4,33.1
55,1959-02-25,1.7,-6.9,0.0,19.1
56,1959-02-26,5.5,-1.0,1.3,33.5
57,1959-02-27,6.2,-0.1,0.8,20.5
58,1959-02-28,4.0,1.9,43.1,60.8
59,1959-03-01,6.5,1.3,2.6,40.7
60,1959-03-02,6.1,1.1,8.1,35.6
61,1959-03-03,5.7,0.8,0.6,24.1
62,1959-03-04,6.6,-0.7,0.0,22.3
63,1959-03-05,7.6,3.2,0.0,20.9
