,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,12.6,3.4,1.5,44.6
2,1959-01-03,11.1,0.1,1.3,25.6
3,1959-01-04,10.9,4.1,12.9,45.4
4,1959-01-05,5.4,-0.3,0.0,46.4
5,1959-01-06,6.0,-1.5,0.3,36.7
6,1959-01-07,5.8,0.3,0.0,40.3
7,1959-01-08,7.0,0.8,0.0,37.1
8,1959-01-09,6.2,-0.8,0.3,15.5
9,1959-01-10,8.5,1.8,0.5,43.9
10,1959-01-11,6.8,0.0,0.0,40.3
11,1959-01-12,10.3,-2.2,0.0,33.1
12,1959-01-13,7.0,-0.4,6.3,37.1
13,1959-01-14,7.2,1.2,0.0,61.6
14,1959-01-15,8.5,-2.3,0.0,20.5
15,1959-01-16,6.8,0.6,2.6,45.7
16,1959-01-17,2.7,-2.0,0.0,58.0
17,1959-01-18,3.6,-2.6,0.3,46.8
18,1959-01-19,6.3,-1.0,0.0,48.2
19,1959-01-20,8.4,-1.6,0.0,22.0
20,1959-01-21,10.1,-2.5,0.0,32.4
21,1959-01-22,10.0,-0.0,0.0,18.0
22,1959-01-23,11.1,0.2,0.0,55.1
23,1959-01-24,12.5,-0.2,0.0,24.5
24,1959-01-25,14.0,0.3,0.7,16.9
25,1959-01-26,13.3,6.0,1.0,21.6
26,1959-01-27,13.7,7.6,1.5,40.7
27,1959-01-28,13.1,4.1,0.0,37.8
28,1959-01-29,8.2,2.4,31.5,45.7
29,1959-01-30,10.7,3.9,13.8,53.3
30,1959-01-31,5.3,1.9,0.1,59.0
31,1959-02-01,10.6,0.1,0.0,30.6
32,1959-02-02,8.5,2.3,11.5,18.0
33,1959-02-03,14.2,6.6,1.2,34.9
34,1959-02-04,14.9,4.3,0.0,40.3
35,1959-02-05,15.6,-0.2,0.0,15.8
36,1959-02-06,14.2,4.3,3.2,16.9
37,1959-02-07,11.2,5.1,11.1,46.8
38,1959-02-08,10.8,3.1,0.1,43.6
39,1959-02-09,11.6,6.7,21.6,50.8
40,1959-02-10,8.8,3.9,0.3,57.2
41,1959-02-11,6.1,0.1,0.0,57.6
42,1959-02-12,11.4,-1.4,0.0,32.0
43,1959-02-13,12.3,-0.9,0.4,18.4
44,1959-02-14,14.0,8.9,20.4,38.9
45,1959-02-15,15.7,11.0,8.4,36.4
46,1959-02-16,14.4,9.2,0.3,20.5
47,1959-02-17,16.5,12.2,13.0,23.8
48,1959-02-18,13.8,8.7,0.5,43.9
49,1959-02-19,10.1,7.1,3.5,13.0
50,1959-02-20,18.6,10.9,15.6,46.1
51,1959-02-21,12.0,9.2,4.9,22.3
52,1959-02-22,14.8,5.5,0.1,38.5
53,1959-02-23,11.1,5.0,0.0,48.6
54,1959-02-24,9.9,3.8,1.2,33.8
55,1959-02-25,12.2,1.2,0.0,37.4
56,1959-02-26,9.6,2.9,1.3,21.2
57,1959-02-27,12.8,1.7,0.0,34.9
58,1959-02-28,14.2,-1.8,0.0,20.5
59,1959-03-01,8.9,4.9,14.5,29.9
60,1959-03-02,13.1,6.6,2.8,34.6
61,1959-03-03,10.8,4.1,0.0,56.5
62,1959-03-04,15.0,-1.0,0.0,16.9
63,1959-03-05,19.3,1.1,0.0,20.2
64,1959-03-06,19.1,5.4,0.3,20.5
65,1959-03-07,16.6,11.2,4.8,27.0
66,1959-03-08,14.3,11.1,8.1,42.1
67,1959-03-09,15.4,7.7,0.0,51.8
68,1959-03-10,10.9,6.9,12.9,37.8
69,1959-03-11,14.3,7.2,1.5,43.9
70,1959-03-12,11.2,4.7,0.4,45.4
71,1959-03-13,6.7,2.2,0.0,64.8
