,time,temperature_2m_max,temperature_2m_min,precipitation_sum,windgusts_10m_max
0,1959-01-01,,,,
1,1959-01-02,20.7,18.0,0.4,49.7
2,1959-01-03,21.2,16.6,0.0,45.7
3,1959-01-04,21.6,12.2,0.0,30.2
4,1959-01-05,21.0,11.4,0.0,23.8
5,1959-01-06,22.3,13.6,0.0,22.0
6,1959-01-07,21.8,13.8,0.0,22.3
7,1959-01-08,22.0,13.1,0.0,28.4
8,1959-01-09,22.4,15.5,0.1,23.8
9,1959-01-10,22.4,15.4,0.3,23.0
10,1959-01-11,23.1,15.5,0.0,23.0
11,1959-01-12,22.5,15.7,0.0,23.8
12,1959-01-13,22.3,13.8,0.0,20.5
13,1959-01-14,22.8,16.2,0.1,23.4
14,1959-01-15,22.7,15.6,0.0,20.9
15,1959-01-16,24.0,17.6,19.8,62.3
16,1959-01-17,20.8,18.2,7.0,50.8
17,1959-01-18,21.6,17.7,0.1,43.9
18,1959-01-19,19.9,14.8,0.0,18.7
19,1959-01-20,21.3,11.6,0.0,25.6
20,1959-01-21,22.3,14.0,0.3,29.9
21,1959-01-22,21.1,16.8,15.7,41.8
22,1959-01-23,18.9,15.3,3.9,51.1
23,1959-01-24,18.8,14.9,0.0,43.9
24,1959-01-25,20.1,15.6,0.0,25.9
25,1959-01-26,19.3,11.0,0.0,24.1
26,1959-01-27,20.0,15.2,0.0,51.8
27,1959-01-28,21.1,14.6,0.0,25.9
28,1959-01-29,21.7,12.1,0.0,21.6
29,1959-01-30,21.8,13.3,0.0,22.0
30,1959-01-31,21.2,12.3,0.0,16.2
31,1959-02-01,23.4,11.7,0.0,23.8
32,1959-02-02,22.7,12.2,0.0,46.4
33,1959-02-03,20.7,16.8,0.0,56.9
34,1959-02-04,20.2,15.7,0.0,36.7
35,1959-02-05,19.5,14.6,0.0,27.7
36,1959-02-06,21.9,10.5,0.0,22.0
37,1959-02-07,24.9,13.0,0.0,26.3
38,1959-02-08,26.4,16.4,0.0,42.1
39,1959-02-09,24.4,17.7,0.0,47.2
40,1959-02-10,18.2,15.4,0.0,60.8
41,1959-02-11,18.5,15.3,0.0,51.1
42,1959-02-12,19.2,15.0,0.0,28.4
43,1959-02-13,23.8,11.2,0.0,21.2
44,1959-02-14,22.4,15.0,0.0,29.2
45,1959-02-15,22.6,14.7,0.0,24.8
46,1959-02-16,26.2,13.3,0.0,23.0
47,1959-02-17,22.7,15.9,0.0,57.6
48,1959-02-18,18.5,15.4,0.0,52.9
49,1959-02-19,18.6,14.4,0.0,35.6
50,1959-02-20,22.2,10.7,0.0,22.0
51,1959-02-21,21.5,14.2,0.1,38.5
52,1959-02-22,18.6,15.4,0.0,39.2
53,1959-02-23,19.5,14.2,0.0,37.8
54,1959-02-24,21.0,15.2,0.0,22.3
55,1959-02-25,24.8,15.7,1.3,28.1
56,1959-02-26,20.0,15.8,0.0,47.2
57,1959-02-27,20.4,15.1,0.5,25.9
58,1959-02-28,23.5,15.1,0.1,30.2
59,1959-03-01,19.4,14.0,0.3,65.9
60,1959-03-02,18.8,11.9,0.0,27.0
61,1959-03-03,22.9,13.3,0.0,20.5
62,1959-03-04,22.7,15.5,0.0,34.6
63,1959-03-05,24.2,16.5,0.0,24.5
64,1959-03-06,26.2,17.3,0.0,51.8
65,1959-03-07,23.5,18.7,0.0,36.4
66,1959-03-08,23.4,18.2,0.5,37.4
67,1959-03-09,19.7,15.6,0.0,58.3
68,1959-03-10,20.3,14.8,0.0,47.2
69,1959-03-11,22.0,15.1,0.0,45.7
70,1959-03-12,22.3,15.0,0.0,33.5
71,1959-03-13,23.6,13.2,0.0,26.6
72,1959-03-14,26.4,12.8,0.0,25.9
73,1959-03-15,27.7,16.7,0.0,31.7
74,1959-03-16,26.8,14.4,0.0,25.6
75,1959-03-17,29.7,14.7,0.0,19.4
76,1959-03-18,31.7,17.0,0.0,26.3
77,1959-03-19,29.6,18.7,0.0,33.1
78,1959-03-20,29.8,18.5,0.0,30.2
79,1959-03-21,32.5,19.8,0.0,36.4
80,1959-03-22,33.4,22.1,0.0,45.7
81,1959-03-23,34.1,23.6,0.0,45.4
82,1959-03-24,27.2,21.4,0.0,34.6
83,1959-03-25,25.3,19.2,0.0,34.6
84,1959-03-26,29.0,16.5,0.0,38.2
85,1959-03-27,27.5,19.9,0.0,47.2
86,1959-03-28,24.7,18.4,0.0,37.4
87,1959-03-29,26.1,17.3,0.0,36.0
88,1959-03-30,30.3,15.8,0.0,24.1
89,1959-03-31,34.9,20.9,0.1,31.7
90,1959-04-01,32.4,23.6,0.2,38.2
91,1959-04-02,26.5,21.6,0.0,42.1
92,1959-04-03,26.2,18.7,0.0,31.3
93,1959-04-04,27.6,15.9,0.0,25.2
94,1959-04-05,32.5,16.4,0.0,25.9
95,1959-04-06,37.0,23.0,0.0,43.2
96,1959-04-07,33.7,23.4,0.0,39.6
97,1959-04-08,27.8,22.2,0.0,41.8
98,1959-04-09,27.8,21.3,0.0,38.5
99,1959-04-10,28.6,21.1,0.0,38.2
100,1959-04-11,29.7,21.4,0.0,33.8
101,1959-04-12,31.7,20.8,0.0,37.4
102,1959-04-13,32.4,21.7,0.0,35.3
103,1959-04-14,33.4,20.1,0.0,28.1
104,1959-04-15,34.8,20.7,0.0,29.2
105,1959-04-16,32.2,23.2,0.0,39.6
106,1959-04-17,31.7,23.0,0.0,33.8
107,1959-04-18,33.3,20.9,0.0,37.8
108,1959-04-19,32.4,24.0,0.0,38.5
109,1959-04-20,30.5,22.9,0.0,47.5
110,1959-04-21,30.2,21.3,0.0,33.8
111,1959-04-22,32.0,20.7,0.0,43.6
112,1959-04-23,34.4,22.6,0.0,37.4
113,1959-04-24,34.5,23.7,0.0,32.0
114,1959-04-25,34.6,22.4,0.0,37.8
115,1959-04-26,35.1,21.5,0.0,38.5
116,1959-04-27,35.0,21.4,0.0,38.2
117,1959-04-28,34.8,20.9,0.0,34.9
118,1959-04-29,35.6,21.8,0.0,33.8
119,1959-04-30,35.5,22.5,0.0,33.8
120,1959-05-01,34.8,21.9,0.0,37.8
121,1959-05-02,32.0,26.4,0.0,42.8
122,1959-05-03,31.3,26.0,0.0,50.4
123,1959-05-04,30.8,22.9,0.0,33.5
124,1959-05-05,33.4,21.8,0.0,31.0
125,1959-05-06,35.3,23.4,0.0,36.4
126,1959-05-07,33.7,24.2,0.0,32.0
127,1959-05-08,34.5,22.9,0.0,40.3
128,1959-05-09,34.3,24.5,0.0,44.3
129,1959-05-10,34.8,24.9,0.1,29.9
130,1959-05-11,36.7,25.1,0.1,31.7
131,1959-05-12,36.4,26.6,0.3,32.0
132,1959-05-13,32.4,25.8,0.0,47.9
133,1959-05-14,32.4,25.8,0.0,52.6
134,1959-05-15,33.8,24.9,0.0,42.5
135,1959-05-16,34.2,27.7,0.0,52.9
136,1959-05-17,34.0,24.9,0.0,33.5
137,1959-05-18,35.9,22.6,0.0,28.8
138,1959-05-19,40.0,27.2,0.0,37.1
139,1959-05-20,36.1,26.6,0.0,25.6
140,1959-05-21,38.2,26.1,0.0,33.5
141,1959-05-22,39.3,26.8,0.0,38.9
142,1959-05-23,40.7,28.4,0.0,34.9
143,1959-05-24,36.9,30.1,2.2,31.3
144,1959-05-25,34.0,27.8,1.8,33.5
145,1959-05-26,36.9,28.3,0.0,51.1
146,1959-05-27,35.3,29.6,0.0,37.8
147,1959-05-28,36.1,27.1,0.0,32.0
148,1959-05-29,37.0,28.9,0.0,36.4
149,1959-05-30,36.6,29.3,0.0,41.8
150,1959-05-31,36.8,29.5,0.1,45.0
151,1959-06-01,34.2,28.4,0.0,54.0
152,1959-06-02,34.3,27.7,0.0,49.3
153,1959-06-03,36.3,28.5,0.0,53.3
154,1959-06-04,37.7,27.0,0.0,36.4
155,1959-06-05,36.5,23.3,0.0,38.2
156,1959-06-06,35.6,27.2,0.0,56.2
157,1959-06-07,33.5,28.0,0.0,53.6
158,1959-06-08,33.7,26.9,0.0,55.8
159,1959-06-09,32.7,26.7,0.0,38.2
160,1959-06-10,32.8,25.2,0.0,34.9
161,1959-06-11,33.6,24.9,0.0,28.8
162,1959-06-12,35.0,25.0,0.0,31.0
163,1959-06-13,35.8,24.8,0.0,35.6
164,1959-06-14,36.3,25.0,0.0,30.6
165,1959-06-15,35.4,24.4,0.0,30.6
166,1959-06-16,36.6,23.7,0.0,30.2
167,1959-06-17,38.4,25.3,0.0,33.1
168,1959-06-18,36.7,27.2,0.0,43.9
169,1959-06-19,35.8,27.1,0.0,43.6
170,1959-06-20,36.6,26.5,0.0,37.1
171,1959-06-21,37.2,26.8,0.0,33.5
172,1959-06-22,38.4,26.0,0.0,33.8
173,1959-06-23,40.8,25.7,0.0,35.3
174,1959-06-24,41.5,26.6,0.0,33.5
175,1959-06-25,37.4,28.6,0.0,34.9
176,1959-06-26,36.6,25.9,0.0,36.0
177,1959-06-27,36.9,26.8,0.0,39.6
178,1959-06-28,37.9,30.0,0.0,41.4
179,1959-06-29,36.8,28.7,0.0,38.2
180,1959-06-30,35.7,26.0,0.0,32.8
181,1959-07-01,35.2,26.9,0.0,36.0
182,1959-07-02,35.5,29.7,0.0,50.0
183,1959-07-03,36.3,30.0,0.0,47.9
184,1959-07-04,37.1,29.5,0.0,38.9
185,1959-07-05,35.5,28.6,0.0,53.3
186,1959-07-06,34.4,29.7,0.0,52.2
187,1959-07-07,34.9,29.1,0.0,47.5
188,1959-07-08,34.7,28.9,0.0,40.0
189,1959-07-09,35.0,28.3,0.0,39.2
190,1959-07-10,34.9,27.7,0.0,34.6
191,1959-07-11,35.7,27.4,0.0,33.8
192,1959-07-12,36.4,26.8,0.0,37.1
193,1959-07-13,36.6,27.8,0.0,37.8
194,1959-07-14,36.4,28.1,0.0,39.6
195,1959-07-15,35.8,29.0,0.0,36.4
196,1959-07-16,37.9,28.9,0.0,32.0
197,1959-07-17,38.2,28.6,0.0,36.7
198,1959-07-18,37.1,30.3,0.0,35.3
199,1959-07-19,36.3,28.2,0.0,34.9
200,1959-07-20,36.9,28.7,0.0,32.8
201,1959-07-21,36.1,28.7,0.0,31.0
202,1959-07-22,36.0,28.9,0.0,34.2
203,1959-07-23,37.8,30.3,0.0,40.3
204,1959-07-24,37.0,29.8,0.0,42.5
205,1959-07-25,36.0,27.7,0.0,31.0
206,1959-07-26,36.6,29.1,0.0,30.6
207,1959-07-27,37.0,28.9,0.0,38.5
208,1959-07-28,37.8,29.3,0.0,41.4
209,1959-07-29,37.5,29.8,0.0,49.7
210,1959-07-30,37.6,28.8,0.0,36.7
211,1959-07-31,36.7,29.6,0.0,27.0
212,1959-08-01,37.1,30.3,0.0,38.2
213,1959-08-02,36.8,30.6,0.0,48.2
214,1959-08-03,37.8,30.2,0.0,48.2
215,1959-08-04,38.3,28.5,0.0,39.6
216,1959-08-05,38.2,28.1,0.0,38.2
217,1959-08-06,36.9,28.7,0.0,34.9
218,1959-08-07,37.8,29.1,0.0,32.4
219,1959-08-08,37.3,29.1,0.0,33.5
220,1959-08-09,37.1,30.2,0.0,40.0
221,1959-08-10,38.1,29.1,0.0,31.7
222,1959-08-11,38.5,31.3,0.0,44.6
223,1959-08-12,38.5,31.2,0.0,38.5
224,1959-08-13,38.3,30.7,0.0,40.3
225,1959-08-14,39.1,29.2,0.0,33.1
226,1959-08-15,39.9,31.0,0.0,41.8
227,1959-08-16,37.7,29.5,0.0,31.3
228,1959-08-17,37.2,29.2,0.0,35.3
229,1959-08-18,37.0,28.7,0.0,38.9
230,1959-08-19,37.2,29.5,0.0,37.4
231,1959-08-20,37.2,29.4,0.0,32.4
232,1959-08-21,36.3,30.0,0.0,31.0
233,1959-08-22,36.7,29.4,0.0,31.3
234,1959-08-23,37.4,28.9,0.0,31.0
235,1959-08-24,38.6,30.5,0.0,37.1
236,1959-08-25,38.8,30.8,0.0,33.8
237,1959-08-26,40.6,32.7,0.0,31.0
238,1959-08-27,39.9,32.9,0.0,37.4
239,1959-08-28,39.7,32.9,0.1,37.1
